,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Pack size,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
47,3 ,"Raspberries, raw  ",3.3 ,Asda Grower’s Selection raspberries  ,Asda Grower’s Selection  ,150g  ,02.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Batch: 785263 Site: 900087 10:04  ,Plastic  ,Chilled  ,Chilled  
49,3 ,"Raspberries, raw  ",3.4 ,Sainsbury’s Taste the Difference British raspberries  ,Sainsbury’s Taste the Difference  ,150g  ,11.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,A0800 DD  ,Plastic  ,Chilled  ,Chilled  
51,3 ,"Raspberries, raw  ",3.5 ,Morrisons raspberries  ,Morrisons  ,150g  ,11.08.15  ,"Morrisons, Norwich  ",Best before Date:  ,,1126HHD319 T49007/0714  ,Plastic  ,Chilled  ,Chilled  
53,3 ,"Raspberries, raw  ",3.6 ,Essential Waitrose raspberries  ,Essential Waitrose  ,160g  ,05.11.15  ,"Waitrose, Wymondham  ",Best before Date:  ,,Supplier: 102WSP 09.14  ,Plastic  ,Chilled  ,Chilled  
55,3 ,"Raspberries, raw  ",3.7 ,Nature’s Fruit raspberries  ,Aldi Nature’s Fruit  ,150g  ,11.08.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,Supplier code: 02944/NHR 3303 (3305C)  ,Plastic  ,Chilled  ,Chilled  
57,3 ,"Raspberries, raw  ",3.8 ,Asda Grower’s Selection raspberries  ,Asda Grower’s Selection  ,150g  ,02.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Batch: 785654 Site:900709 19:06  ,Plastic  ,Chilled  ,Chilled  
59,3 ,"Raspberries, raw  ",3.9 ,The Co -operative Loved by Us Scottish raspberries  ,The Co -operative Loved by Us  ,150g  ,11.08.15  ,"The Co -operative, Unthank Road, Norwich  ",Best before Date:  ,,M150/TO  ,Plastic  ,Chilled  ,Chilled  
61,3 ,"Raspberries, raw  ",,Greengrocer raspberries  ,Pack size:  ,Purchase Date:  ,11.08.15  ,"Independent greengrocer, Norwich  ",Best before Date:  ,,Packaging:  ,Plastic  ,Ambient  ,Chilled  
63,3 ,"Raspberries, raw  ",3.11 ,Berries R Us Portuguese raspberries  ,Berries R Us  ,125g  ,24.08.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Plastic  ,Chilled  ,Chilled  
65,4 ,"Pineapple, fresh, raw, flesh only  ",4.1 ,Tesco pineapple chunks  ,Tesco  ,400g  ,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L5 17:33 SC3660  ,Plastic  ,Chilled  ,Chilled  
67,4 ,"Pineapple, fresh, raw, flesh only  ",4.2 ,Tesco pineapple  ,Tesco  ,Purchase Date:  ,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC: PGP E  ,Loose  ,Ambient  ,21ºC c ontrolled temperature room 
69,4 ,"Pineapple, fresh, raw, flesh only  ",4.3 ,Asda Grower’s Selection pineapple chunks  ,Asda Grower’s Selection  ,400g  ,28.09.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,175 P11  ,Plastic  ,Chilled  ,Chilled  
71,4 ,"Pineapple, fresh, raw, flesh only  ",4.4 ,Sainsbury’s pineapple slices  ,Sainsbury’s  ,350g  ,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,B1337A 7282199 09.14  ,Plastic  ,Chilled  ,Chilled  
73,4 ,"Pineapple, fresh, raw, flesh only  ",4.5 ,Morrisons pineapple  ,Morrisons  ,180g  ,28.09.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1424/3 1 16:17 1424 T44682/0114  ,Plastic  ,Chilled  ,Chilled  
75,4 ,"Pineapple, fresh, raw, flesh only  ",4.6 ,M&S perfectly ripe large golden pineapple  ,Marks & Spencer  ,Purchase Date:  ,28.09.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,4929  ,Loose  ,Ambient  ,21ºC c ontrolled temperature room 
77,4 ,"Pineapple, fresh, raw, flesh only  ",4.7 ,Natura Farms gold pineapple  ,Lidl Natura Farms  ,Purchase Date:  ,28.09.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC c ontrolled temperature room 
79,4 ,"Pineapple, fresh, raw, flesh  only ",4.8 ,Sainsbury’s basics pineapple  ,Sainsbury’s basics  ,Purchase Date:  ,05.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,F0237C 1092585 09.14  ,Loose; tag - mixed material  ,Ambient  ,21ºC c ontrolled temperature room 
81,4 ,"Pineapple, fresh, raw, flesh only  ",4.9 ,The Co -operative Loved by Us pineapple  ,The Co -operative Loved by Us  ,Purchase Date:  ,06.10.15  ,"Co-op, Wymondham  ",Best before Date:  ,,Supplied by: M206C  KEGE12  ,Loose; tag - cardboard  ,Ambient  ,21°C controlled temperature room  
83,4 ,"Pineapple, fresh, raw, flesh only  ",4.10 ,Del Monte Gold extra sweet pineapple  ,Del Monte  ,Purchase Date:  ,28.09.15  ,"Independent greengrocer, Norwich  ",Best before Date:  ,,10301465  ,Loose; tag - cardboard  ,Ambient  ,21ºC controlled temperature room  
85,4 ,"Pineapple, fresh, raw, flesh only  ",4.11 ,Del Monte Gold extra sweet pineapple  ,Del Monte  ,Purchase Date:  ,24.08.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,10301465  ,Loose; tag - cardboard  ,Ambient  ,21ºC controlled temperature room  
87,5 ,"Mangoes , ripe, raw, flesh only  ",5.1 ,Tesco mango  ,Tesco  ,3 fruits  ,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Supplier code: SC TR001  ,Plastic  ,Ambient  ,Chilled  
89,5 ,"Mangoes, ripe, raw, flesh only  ",5.2 ,Tesco mango chunks  ,Tesco  ,275g  ,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Use By Date:  ,,03:42 KD01  ,Plastic  ,Chilled  ,Chilled  
91,5 ,"Mangoes, ripe, raw, flesh only  ",5.3 ,Asda Grower’s Selection giant mango  ,Asda Grower’s Selection  ,Purchase Date:  ,28.09.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,909998  ASP1419466  ,Loose  ,Ambient  ,21ºC controlled temperature room  
93,5 ,"Mangoes, ripe, raw, flesh only  ",5.4 ,Sainsbury’s ripe & ready mangoes  ,Sainsbury’s  ,2 fruit  ,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,F0224M 1291681 11.14  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
95,5 ,"Mangoes, ripe, raw, flesh only  ",5.5 ,Morrisons mango  ,Morrisons  ,Purchase Date:  ,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,275964 TH1CON1339 05:56 ED LA53702020 ,Loose  ,Ambient  ,21ºC controlled temperature room  
97,5 ,"Mangoes, ripe, raw, flesh only  ",5.6 ,M&S large mango  ,Marks & Spencer  ,Purchase Date:  ,28.09.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC4808  ,Loose  ,Ambient  ,21ºC controlled temperature room  
101,5 ,"Mangoes, ripe, raw, flesh only  ",5.8 ,Asda Smart Price mangos  ,Asda Smart Price  ,4 fruit  ,28.09.15  ,"Asda, Boundary Road, Norwich  ",03.10.15  ,,PO.442956  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
103,5 ,"Mangoes, ripe, raw, flesh only  ",5.9 ,The Co -operative Loved by Us mango chunks  ,The Co -operative Loved  by Us  ,250g  ,07.12.15  ,"The Co -operative, Long Stratton  ",Best before Date:  ,,M252 Line F1 00:33 P14455/1/3  ,Plastic  ,Chilled  ,Chilled  
105,5 ,"Mangoes, ripe, raw, flesh only  ",5.10 ,Andalor Mango  ,Anadalor  ,Purchase Date:  ,13.10.15  ,"Independent farm shop, Mulbarton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
107,5 ,"Mangoes, ripe, raw, flesh only  ",5.11 ,Farm Fresh mango  ,Farm Fresh  ,2 fruit  ,28.09.15  ,"Booker, Norwich  ",Best before Date:  ,,#4051 3604 TEX 262  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
109,6 ,"Nectarines, yellow flesh, raw, flesh and skin  ",6.1 ,Tesco yellow flesh nectarines  ,Tesco  ,Purchase Date:  ,14.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Supplier code: GZ08  ,Plastic with netting  ,Chilled  ,21ºC controlled temperature room  
111,6 ,"Nectarines, yellow flesh, raw, flesh and skin  ",6.2 ,Tesco yellow flesh nectarines  ,Tesco  ,5 fruit s ,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC DPT 8256  ,Plastic with netting  ,Ambient  ,21ºC controlled temperature room  
113,6 ,"Nectarines, yellow flesh, raw, flesh and skin  ",6.3 ,Asda Grower’s Selection nectarines  ,Asda Grower’s Selection  ,1kg ,17.08.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,T219/20915081013 Site: 907790 PO: 420415  ,Plastic with netting  ,Chilled  ,21ºC controlled temperature room  
115,6 ,"Nectarines, yellow flesh,  raw, flesh and skin  ",6.4 ,Sainsbury’s nectarines  ,Sainsbury’s  ,4 fruit  ,14.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,M0249GU  517751 10.13  ,Plastic with netting  ,Chilled  ,21ºC controlled temperature room  
117,6 ,"Nectarines, yellow flesh, raw, flesh and skin ",6.5 ,Morrisons nectarines  ,Morrisons  ,Min 4 fruit  ,17.08.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,LA53700209 208915 TH1 SOR2 226 12:24 MS  ,Plastic with netting  ,Chilled  ,21ºC controlled temperature room  
119,6 ,"Nectarines, yellow flesh, raw, flesh and skin  ",6.6 ,M&S yellow flesh nectarines  ,Marks & Spencer  ,Purchase Date:  ,26.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",,,1826  ,Plastic with paper tray  ,Chilled  ,Chilled  
121,6 ,"Nectarines, yellow flesh, raw, flesh and skin  ",6.7 ,Nature’s Fruit nectarines  ,Aldi Nature’s Fruit  ,4 fruit  ,17.08.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,3403 (3405C) 00200 TZZ ALR1404010 25341300  ,Plastic with card tray  ,Chilled  ,Chilled  
123,6 ,"Nectarines, yellow flesh, raw, flesh and  skin ",6.8 ,The Co -operative Loved by Us nectarines  ,The Co -operative Loved by Us  ,4 fruit s ,17.08.15  ,"The Co -operative, Earlham Green Lane, Norwich  ",Best before Date:  ,,M060AQ  ,Plastic with netting  ,Chilled  ,21ºC controlled temperature room  
125,6 ,"Nectarines, yellow flesh, raw, flesh and skin  ",6.9 ,Gog de Magog nectarines  ,Gog de Magog  ,Purchase Date:  ,19.08.15  ,"Independent market stall, Norwich M arket  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
127,6 ,"Nectarines, yellow flesh, raw, flesh and skin  ",6.10 ,Morrisons nectarines  ,Morrisons  ,5 fruit  ,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1230/UUK LA53700209  ,Plastic with netting  ,Ambient  ,21ºC controlled temperature room  
129,6 ,"Nectarines, yellow flesh, raw, flesh and skin  ",6.11 ,Tesco yellow flesh nectarines  ,Tesco  ,5 fruits  ,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC: DPT 8388  ,Plastic with netting  ,Chilled  ,21ºC controlled temperature room  
131,7 ,"Cherries, raw  ",7.1 ,Tesco cherries  ,Tesco  ,Purchase Date:  ,11.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Supplier code: KQ33 PLU 4045   ,Plastic  ,Chilled  ,Chilled  
133,7 ,"Cherries, raw  ",7.2 ,Tesco British cherries  ,Tesco  ,250g  ,11.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC: KG56  ,Plastic  ,Chilled  ,Chilled  
135,7 ,"Cherries, raw  ",7.3 ,Asda Grower’s Selection sweet & fragrant cherries  ,Asda Grower’s Selection  ,425g  ,11.08.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Batch: L72541 Site: 427032 ASP1419288  ,Plastic  ,Chilled  ,Chilled  
137,7 ,"Cherries, raw  ",7.4 ,Sainsbury’s British cherries  ,Sainsbury’s  ,250g  ,11.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,A0433W 05:26 W2 11.14 7662145  ,Plastic  ,Chilled  ,Chilled  
139,7 ,"Cherries, raw  ",7.5 ,Morrisons cherries  ,Morrisons  ,225g  ,11.08.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1954/JOS T47513/0514 1954  ,Plastic  ,Chilled  ,Chilled  
141,7 ,"Cherries, raw  ",7.6 ,Waitrose  lusciously sweet & juicy cherries  ,Waitrose  ,180g  ,18.11.15  ,"Waitrose, Wymondham  ",20.11.15  ,,Supplier: 347AAO L99646  ,Plastic  ,Chilled  ,Chilled  
143,7 ,"Cherries, raw  ",7.7 ,Lidl cherries  ,Lidl ,Purchase Date:  ,18.11.15  ,"Lidl, Drayton Road, Norwich  ",,,Packaging:  ,Loose  ,Chilled  ,Chilled  
145,7 ,"Cherries, raw  ",7.8 ,The Co -operative Loved by Us cherries  ,The Co-operative Loved by Us  ,200g  ,12.08.15  ,"The Co -operative, Unthank Road, Norwich  ",Best before Date:  ,,Supplied by: M150/TS P6729F/2/2  ,Plastic  ,Chilled  ,Chilled  
147,7 ,"Cherries, raw  ",7.9 ,Sainsbury’s cherries  ,Sainsbury’s  ,200g  ,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,A0800 X2  ,Plastic  ,Chilled  ,Chilled  
149,7 ,"Cherries, raw ",7.10 ,Market cherries  ,Pack size:  ,Purchase Date:  ,12.08.15  ,"Independent market stall, Norwich M arket  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
151,7 ,"Cherries, raw  ",7.11 ,Morrisons cherries  ,Morrisons  ,200g  ,09.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1954/JOS T47513/0514  ,Plastic  ,Chilled  ,Chilled  
153,8 ,"Grapefruit, raw, flesh only  ",8.1 ,Tesco pink grapefruit  ,Tesco  ,Purchase Date:  ,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
155,8 ,"Grapefruit, raw, flesh only  ",8.2 ,Tesco red grapefruit  ,Tesco  ,Purchase Date:  ,30.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
157,8 ,"Grapefruit, raw, flesh only  ",8.3 ,Asda Grower’s Selection red grapefruit  ,Asda Grower’s Selection  ,3 fruit  ,30.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Batch: 791636 site: 901083 ASP1420022 SL1257  ,Netting  ,Ambient  ,Chilled  
159,8 ,"Grapefruit, raw, flesh only  ",8.4 ,Sainsbury’s red grapefruit  ,Sainsbury’s  ,4 fruit  ,30.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,CO163A 05:01 0000 13 ,Plastic and netting  ,Ambient  ,Chilled  
161,8 ,"Grapefruit, raw, flesh only  ",8.5 ,Morrisons pink grapefruit  ,Morrisons  ,Count 4  ,30.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,225033 TH1 CIT 2A 332 08:15 5G LA53700219  ,Plastic and netting  ,Ambient  ,21ºC controlled temperature room  
163,8 ,"Grapefruit, raw, flesh only ",8.6 ,Waitrose red grapefruit  ,Waitrose  ,Purchase Date:  ,30.11.15  ,"Waitrose, Wymondham  ",Best before Date:  ,,4288  ,Loose  ,Ambient  ,21ºC controlled temperature room  
165,8 ,"Grapefruit, raw, flesh only  ",8.7 ,Aldi red grapefruit  ,Aldi ,Purchase Date:  ,05.10.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
167,8 ,"Grapefruit, raw, flesh only  ",8.8 ,Asda Grower’s Selection red grapefruit  ,Asda Grower’s Selection  ,3 fruit  ,05.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Batch: 778546 Site: 902887 ASP1420022 SL1255  ,Plastic and netting  ,Ambient  ,21ºC controlled temperature room  
169,8 ,"Grapefruit, raw, flesh only  ",8.9 ,The Shop SU white grapefruit  ,The Shop SU  ,Purchase Date:  ,22.09.15  ,"The Shop SU, University of East Anglia, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
171,8 ,"Grapefruit, raw, flesh only  ",8.10 ,Farm  shop white grapefruit  ,Pack size:  ,Purchase Date:  ,13.10.15  ,"Independent farm shop, Mulbarton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21°C controlled temperature room  
173,8 ,"Grapefruit, raw, flesh only  ",8.11 ,Swithenbank red grapefruit  ,Swithenbank  ,4 fruit  ,12.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Trace code: H 104407 product code: 74939 #4288  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
175,9 ,"Leeks, fresh, raw  ",9.1 ,Tesco leeks  ,Tesco  ,Purchase Date:  ,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
177,9 ,"Leeks, fresh, raw  ",9.2 ,Tesco leeks  ,Tesco  ,500g  ,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC: EM12 L3288 10:46  ,Plastic  ,Chilled  ,Chilled  
179,,"Leeks, fresh, raw  ",9.3 ,Asda Grower’s Selection British extra trimmed leeks  ,Asda Grower’s Selection  ,500g  ,16.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:143434 ASP1506594  ,Plastic  ,Chilled  ,Chilled  
181,9 ,"Leeks, fresh, raw  ",9.4 ,Sainsbury’s British trimmed leeks  ,Sainsbury’s  ,500g  ,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,D288A 6 290 10:53 RO466 6308660 09.14  ,Plastic  ,Chilled  ,Chilled  
183,9 ,"Leeks, fresh, raw  ",9.5 ,Morrisons trimmed leeks  ,Morrisons  ,500g  ,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,6999GSH 0522 T47518/0514  ,Plastic  ,Chilled  ,Chilled  
185,9 ,"Leeks, fresh, raw  ",9.6 ,Sainsbury’s leeks  ,Sainsbury’s  ,Purchase Date:  ,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
187,9 ,"Leeks, fresh, raw  ",9.7 ,M&S British leeks  ,Marks & Spencer  ,600g  ,19.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,4146T  ,Plastic  ,Chilled  ,Chilled  
189,9 ,"Leeks, fresh, raw  ",9.8 ,Oaklands British leeks  ,Oaklands  ,750g  ,19.10.15  ,,Best before Date:  ,,4204 E52144 W3552  ,Plastic  ,Chilled  ,Chilled  
191,9 ,"Leeks, fresh, raw  ",9.9 ,The Co -operative leeks  ,The Co -operative  ,Purchase Date:  ,16.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
193,9 ,"Leeks, fresh, raw  ",9.10 ,Farm shop Leeks  ,Pack size: ,Purchase Date:  ,13.10.15  ,"Independent farm shop, Mulbarton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
195,9 ,"Leeks, fresh, raw  ",9.11 ,Bidvest Foodservice Leeks  ,Bidvest Foodservice  ,5kg ,12.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Plastic netting  ,Ambient  ,Chilled  
197,10 ,"Leeks, fresh, boiled  ",10.1 ,Tesco leeks  ,Tesco  ,Purchase Date:  ,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
199,10 ,"Leeks, fresh, boiled  ",10.2 ,Tesco leeks  ,Tesco  ,500g  ,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC: EM12 L3288  10:46  ,Plastic  ,Chilled  ,Chilled  
201,10 ,"Leeks, fresh, boiled  ",10.3 ,Asda Grower’s Selection British extra trimmed leeks  ,Asda Grower’s Selection  ,500g  ,16.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:143434 ASP1506594  ,Plastic  ,Chilled  ,Chilled  
203,,"Leeks, fresh, boiled  ",10.4 ,Sainsbury’s British trimmed leeks  ,Sainsbury’s  ,500g  ,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,D288A 6 290 10:53 RO466 6308660 09.14  ,Plastic  ,Chilled  ,Chilled  
205,10 ,"Leeks, fresh, boiled  ",10.5 ,Morrisons trimmed leeks  ,Morrisons  ,500g  ,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,6999GSH 0522 T47518/0514  ,Plastic  ,Chilled  ,Chilled  
207,10 ,"Leeks, fresh, boiled  ",10.6 ,Sainsbury’s leeks  ,Sainsbury’s  ,Purchase Date:  ,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
209,10 ,"Leeks, fresh, boiled  ",10.7 ,M&S British leeks  ,Marks & Spencer  ,600g  ,19.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,4146T  ,Plastic  ,Chilled  ,Chilled  
211,10 ,"Leeks, fresh, boiled  ",10.8 ,Oaklands British leeks  ,Oaklands  ,750g  ,19.10.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,4204 E52144 W3552  ,Plastic  ,Chilled  ,Chilled  
213,10 ,"Leeks, fresh, boiled  ",10.9 ,The Co -operative leeks  ,The Co -operative  ,Purchase Date:  ,16.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
215,10 ,"Leeks, fresh, boiled  ",10.10  ,Farm shop Leeks  ,Pack size:  ,Purchase Date:  ,13.10.15  ,"Independent farm shop, Mulbarton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
217,10 ,"Leeks, fresh, boiled  ",10.11  ,Bidvest Foodservice Leeks  ,Bidvest Foodservice  ,5kg ,12.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Plastic netting  ,Ambient  ,Chilled  
219,11 ,"Leeks, fresh, roasted  in rapeseed oil  ",11.1 ,Tesco leeks  ,Tesco  ,Purchase Date:  ,20.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,,Loose  ,Ambient  ,Chilled  
221,11 ,"Leeks, fresh, roasted in rapeseed oil  ",11.2 ,Tesco British leeks  ,Tesco  ,500g  ,02.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC: EM12 L3302 14:36  ,Plastic  ,Ambient  ,Chilled  
