,0,1,2,3
61,Wine I average glass,125g,,
62,I small bottle,200g,,
63,1 half bottle,375g,,
64,1 average bottle,750g,,
65,Soft drinks and fruit juices,,,
66,Many beverages are sold or measured by volume.,,,
67,To convert into grams multiply by the appropriate specific gravity. (see table,,,
68,pp viii—xii).,,,
69,Carbonated bottled drink Lucozade (glass bottle),250m1,,
70,Own brand (plastic bottle)—large,500m1,,
71,Own brand (plastic bottle)—standard,250m1,,
72,Carbonated canned drink,slim can,250m1,
73,,sports/large can,500in1,
74,,standard can,330rn1,
75,,trial/funsize/baby can,"150,nl",
76,Cup drinks,Calypso,191g,
77,,Scotts,191g,
78,Dilutable still drinks,average measure,50g,
79,Fresh orange juice,"1 orange, freshly squeezed",50g,
80,Fruit Juice,average glass,160g,
81,,individual carton,200g,
82,,tall tumbler,300g,
83,,wine glass,120g,
84,,Britvic canned,173g,
85,,pub bottle,hOg,
86,Lime cordial,in 1⁄2 pint lager,45g,
87,,in 1 pint lager,90g,
88,Mineral water,large,500g,
89,,standard,330g,
90,,small,250g,
91,,"Evian, small",200g,
92,,"canned, standard",330g,
93,,"canned, small",250g,
94,Mixers,pub bottle,hOg,
95,,"Schweppes, bottled",250m1,
96,,"standard, bottle",330m1,
97,,"tonic water, canned",170m1,
98,Pouch drinks,Capri Sun,208g,
99,,Geebee Twist & Squeeze,201g,
100,,Lucozade Sport Isotonic drink,250g,
101,,Luvly Jubbly pouch drink,206g,
102,Ready to drink still fruit drinks,,,
103,These are generally purchased in 200m1 or 250m1 cartons. Some examples of,,,
104,common types:,,,
105,200m1 cartons Del Monte Fruit Troop,206g,,
106,Five Alive fruit juice drinks,206g,,
107,Libby's C drinks,208g,,
108,Libby's Urn Bongo,206g,,
109,Suncrest fruit drinks,206g,,
110,250m1 cartons C-Vit,263g,,
111,"Own brand, fruit drinks",257g,,
112,"Own brand, fruit juice drinks",257g,,
113,"Own brand, Hi juice drinks",260g,,
114,Quosh fruit drink,257g,,
115,Robinson's Special 'R' fruit juice drinks,253g,,
116,Rowntree fruit juice drink,257g,,
117,Wells Sugar free fruit drinks,253g,,
118,"Ribena concentrate, average measure",38g,,
119,individual carton,263g,,
120,kingsize carton,394g,,
121,Squash (concentrate) average measure,50g,,
122,diluted (1:4),250g,,
123,Other beverages,,,
124,Cadbury's highlights 1 sachet,Jig,,
125,Chocolate break 1 sachet,28g,,
126,"Chocolate drinks, instant 1 sachet, average",Jig,,
127,Chococino (Nestlé) 1 sachet,20g,,
128,Cocoa 1 teaspoon heaped,6g,,
129,level,2g,,
130,Coffee 1 average cup,i90g,,
131,1 average mug,260g,,
132,1 average vending machine cup,1 70g,,
133,"1 teaspoon instant, heaped",2g,,
134,level,ig,,
135,,Cappucino (Nescafé),1 sachet,13g
136,,unsweetened,1 sachet,12g
137,,Drinking chocolate,for 1 mug,18g
138,,Horlicks chocolate malted,,
139,,food drink,for 1 mug,20g
140,,"Horlicks, instant, low fat",1 sachet,32g
141,,Horlicks malted food drink,for I mug,25g
142,,,1 sachet,23g
143,,"Lemon tea, instant",1 teaspoon,2g
144,,,for 1 mug,6g
145,,Nesquik,for 1 tumbler of milk,15g
146,,,1 rounded teaspoon,5g
147,,Ovaltine,for 1 mug,20g
148,,,1 sachet,23g
149,,Ovaltine light,1 sachet,20g
150,,Tea,1 average cup,190g
151,,,1 average mug,260g
152,,,1 average vending machine cup,1 70g
153,Pal,,,
154,BISCUITS,,,
155,Abbey Crunch,9g,,
156,"All butter shortbread, McVities",20g,,
157,All butter thins,5g,,
158,Animals,lOg,,
159,"Arrowroot, thin",8g,,
160,Assorted creams,12g,,
161,Bandit,24g,,
162,Bath Oliver,15g,,
163,Blue Ribband standard,22g,,
164,mini,12g,,
165,"Boasters, McVities double chocolate",19g,,
166,hazlenutlpecan,17g,,
167,Bourbon,13g,,
168,Brandy snaps,15g,,
169,Breakaway,24g,,
170,Butter crunch,,,
171,Butter puffs,lOg,,
172,"Caramel wafer, Tunnocks",27g,,
173,Carr's Table Water large,8g,,
174,small,3g,,
175,with sesame seeds,3g,,
176,"Cereal bars, Boots",30g,,
177,Cheddars,4g,,
178,Mini Cheddars bag,33g,,
179,each,2g,,
180,Cheese sandwich,7g,,
181,Cheese thins,4g,,
182,Chocolate and nut cookies,8g,,
183,Chocolate chip gingers,13g,,
184,Chocolate chip oaties,7g,,
185,Chocolate coated ginger and,,,
186,"pear bar, Boots",45g,,
187,Chocolate fingers,6g,,
188,"Classic bar, Fox's",34g,,
189,Club (all except wafer),24g,,
190,Club wafer,19g,,
191,Cluster (all varieties),28g,,
192,,Coconut cookies,,15g
193,,Coconut mallows,,Jig
194,,"Cookies, Boots",,17g
195,,Mini cookies,per bag,30g
196,,,"Boots, per bag",40g
197,,Corn crisp,/8,20g
198,,Cream crackers,,7g
199,,Crispbread,crackerbread,lOg
200,,,extra thin,5g
201,,,"Kavli, muesli",lOg
202,,,Ryvita,lOg
203,,,Scanda,6g
204,,,wholewheat,15g
205,,"Crunchy bars, Jordans",,33g
206,,Custard creams,,Jig
207,,Digestive,,
208,,,"chocolate bar, McVities",19g
209,,,"chocolate, McVities",18g
210,,,"creams, McVities",14g
211,,,full coated,20g
212,,,McVities,15g
213,,,sweetmeal,13g
214,,,"sweet meal, chocolate",13g
215,,Farleys rusk,,I 7g
216,,Farmhouse crackers,,8g
217,,Fig rolls,,15g
218,,"Fingers, chocolate coated",,6g
219,,54321,,21g
220,,Fivers,,I7g
221,,Flapjacks,Boots,70g
222,,,Large,90g
223,,,Yoghurt coated,50g
224,,French toast,,8g
225,,Fruit shortcake,,lOg
226,,Fruit Shrewsbury,,I5g
227,,Garibaldi,,lOg
228,,Giant cookies,"Boots, Paterson Bronté",60g
229,,,Own brand,50g
230,,"Ginger bar, McVities",chocolate coated,28g
231,r,,,
232,Ginger crunch creams,,13g,
233,Ginger nuts,,lOg,
234,Ginger snaps,,7g,
235,Ginger thins,,7g,
236,Gipsy creams,,13g,
237,Gold bar,,22g,
238,Golden crumble,,99,
239,Golden crunch creams,,13g,
240,Harvest crunch bars,,20g,
241,Hi-Lo crackers,,5g,
242,Hob-nob bar,,27g,
243,Hob-nobs,chocolate coated,16g,
244,,creams,14g,
245,,plain,14g,
246,Hovis crackers,,7g,
247,Iced gems,per bag,30g,
248,,each,2g,
249,Iced ring biscuits,,12g,
250,Iced shorties,,99,
251,Jaffa cakes,,13g,
252,Jam rings,,13g,
253,Jam sandwich creams,,13g,
254,Jamboree mallow,,20g,
255,Jammy dodgers,,17g,
256,Jaspers,,13g,
257,,chocolate coated,15g,
258,Jump cereal bar,,21g,
259,Kavli,muesli crispbread,lOg,
260,Kracka wheat,,7g,
261,Krisprolls,,lOg,
262,Lemon puffs,,lOg,
263,Lincoln biscuits,,8g,
264,Mallows,,17g,
265,Malted milk,,99,
266,Malted milk creams,,12g,
267,Marie,,8g,
268,,,,P11
269,Marshmallow teacake,,18g,
270,Maryland cookies,,99,
271,Mini cookies,"Boots, bag",40g,
272,,"McVities, bag",30g,
273,,each,3g,
274,Misbits,,lOg,
275,Montana,,29g,
276,Morning coffee,,5g,
277,Munchmallow,,18g,
278,Nice,finger,5g,
279,Oatcakes,round,13g,
280,,triangle,17g,
281,Orange creams,,I2g,
282,"Original crunchy bars,",,,
283,Jordans,,33g,
284,Peanut sticks,bag,30g,
285,Penguin,,25g,
286,Petit beurre,,7g,
287,Petticoat tails,,13g,
288,Plain chocolate digestive,sweetmeal,13g,
289,Plain chocolate homewheat,McVities,I 7g,
290,"Raisin and honey, Prewetts",,I5g,
291,Rice cake,,7g,
292,Rich tea,,7g,
293,,chocolate coated,13g,
294,Ritz,cheese sandwich,8g,
295,,plain,3g,
296,"Riva, McVities",2 piece bar,25g,
297,Rocky biscuit,,29g,
298,Ryvita,,lOg,
299,Sesame seed thins,crackers,,
300,Shortbread finger,,13g,
301,Shortcake,,lOg,
302,"Snack, Cadbury's",,5g,
303,Snowballs,,25g,
304,Taxi,,14g,
305,Tetley tea folk,,24g,
306,Thin arrowroot,,8g,
307,Toffypops,,18g,
308,Tracker standard,,37g,
309,"packet of 6, each",,27g,
310,buttermunch,,18g,
311,Treacle crunch creams,,13g,
312,Trio,,24g,
313,Triple bar,,22g,
314,Tuc each,,5g,
315,savoury sandwich,,14g,
316,"Tuc, mini bag",,25g,
317,each,,2g,
318,Twiglets standard,,50g,
319,"packet of 6, each",,25g,
320,each,,Ig,
321,Typhoo Tea Break each,,24g,
322,"TroI bar, Prewetts",,28g,
323,United golden crunch/orange/mint,,21g,
324,Viennese fingers,,21g,
325,Viscount mint/orange,,I6g,
326,"Wafer, not coated",,15g,
327,"Wafer, pink filled",,7g,
328,Wafers for ice cream see Ice creams and ice blues,,,
329,Wagon wheels,,31g,
330,Water biscuits,,8g,
331,Wholemeal bran,,15g,
332,crispbread,,5g,
333,shortbread,,15g,
334,YoYo mint,,19g,
335,toffee,,20g,
336,"Biscuits, if name not specijied = averages",,,
337,Cheese biscuits,,4g,
338,Cream sandwich biscuits,,12g,
339,Full coated chocolate biscuits,,24g,
340,Semi-sweet biscuits e.g. Marie,,7g,
341,Sweet biscuits,"cookies, crunch",lOg,
342,Wafer biscuits,"(cream filled, not ice-cream wafers)",7g,
343,"BREAD, ROLLS, CHAPATIS, ETC.",,,
344,Bagel plain,70g,,
345,Breadstick each,7g,,
346,Brioche individual,45g,,
347,"Chapati white or brown, average, without fat",55g,,
348,with fat,60g,,
349,"Croissant chocolate, 'pain-au-chocolat'",60g,,
350,mini,35g,,
351,plain,6Og,,
352,savoury filled,90g,,
353,"Croutons with soup, homemade",25g,,
354,purchased,15g,,
355,Crumpet toasted,40g,,
356,Danish style light bread,,,
357,sliced medium slice fresh,20g,,
358,toasted,18g,,
359,"French stick 2"" slice",40g,,
360,"6"" slice",120g,,
361,"French toast bread coated in egg, fried, 1 slice",70g,,
362,Garlic bread 1 slice,20g,,
363,1 slice with cheese,40g,,
364,restaurant portion,60g,,
365,Malt loaf 1 slice,35g,,
366,"Muffin white, toasted",68g,,
367,"wholemeal, toasted",72g,,
368,Naan bread filled,155g,,
369,plain,160g,,
370,"Nimble, sliced",1 slice fresh,20g,
371,,toasted,18g,
372,Papadum,fried,13g,
373,,grilled,lOg,
374,Paratha,plain,140g,
375,,stuffed,170g,
376,Pikelets,"toasted, each",,
377,Pitta bread,"'mini', picnic",35g,
378,,small,75g,
379,,large,95g,
380,Potato cake/bread,"1 fan, fried",65g,
381,,grilled,56g,
382,Pumpernickel,I average slice,33g,
383,"Pun, fried",,70g,
384,Rolls,bagel,70g,
385,,"bap, granary, white or wholemeal",,
386,,"(6"" diameter)",112g,
387,,bridge roll,20g,
388,,granary roll,56g,
389,,"hamburger bun, bakers",85g,
390,,prepacked,50g,
391,,"Hovis, 'mini loaf'",40g,
392,,krisp roll e.g. Pogeus,lOg,
393,,"white roll, crusty",50g,
394,,soft,45g,
395,,"wholemeal roll, crusty",48g,
396,,soft,48g,
397,"Roti, bread",cooked in tandoor,lOOg,
398,Rye bread,1 average slice,25g,
399,"Slimcea, sliced",1 slice fresh,15g,
400,,toasted,13g,
401,Soda bread 1 far!,,130g,
402,Staffordshire oatcake,,50g,
403,"Toasting loaf white, 1 slice fresh",,27g,
404,,toasted,24g,
405,"White crusty bread small loaf, 1 slice fresh",,27g,
406,,toasted,24g,
407,"large loaf, 1 medium slice fresh",,35g,
408,,toasted,31g,
409,"large loaf, 1 thick slice fresh",,50g,
410,,toasted,45g,
411,"White sliced bread small loaf, 1 slice fresh",,25g,
412,"(including Premium, soft-",toasted,20g,
413,"grain white loaves) large loaf, 1 thin slice fresh",,31g,
414,,toasted,22g,
415,"large loaf, 1 medium slice fresh",,36g,
416,,toasted,27g,
417,"large loaf, 1 thick slice fresh",,44g,
418,,toasted,34g,
419,"Wholemeal sliced bread small loaf, 1 slice fresh",,25g,
420,"(including brown, granary,",toasted,23g,
421,"wheatgerm loaves) large loaf, 1 medium slice fresh",,36g,
422,,toasted,31g,
423,"large loaf, 1 thick slice fresh",,44g,
424,,toasted,40g,
425,"Wholemeal unsliced bread small loaf, 1 average slice fresh",,30g,
426,,toasted,27g,
427,large loaf 1 medium slice fresh,,38g,
428,,toasted,33g,
429,"large loaf, 1 thick slice fresh",,55g,
430,,toasted,50g,
431,NB For a thicker end crust of a loaf add on lOg.,,,
432,"Crusts are 30% of a slice in weight, e.g. a 30g slice weighs 2 1 g without crust",,,
433,"For fried bread, add on lOg fat per slice.",,,
434,,BREAKFAST CEREALS,,
435,,"All-Bran type cereals e.g. Branbuds, Grapenuts, All-Bran",,
436,,"1 average portion, small",30g,
437,,medium,40g,
438,,large,60g,
439,,1 tablespoon,7g,
440,,"Clusters, Nestlé 1 average portion",30g,
441,,"Cornflake type cereals e.g. Branflakes, Weetaflakes, Frosties,",,
442,,"Crunchy Nut Cornflakes, Fruit and",,
443,,"Fibre, Golden Crackles",,
444,,"I average portion, small",20g,
445,,medium,30g,
446,,large,50g,
447,,1 tablespoon Branflakes,8g,
448,,1 tablespoon Cornflakes,6g,
449,,1 tablespoon Frosties,8g,
450,,1 tablespoon Golden Crackles,7g,
451,,"I variety pack, Cornflakes",17g,
452,,Frosties/Crunchy Nut,,
453,,Cornflakes,23g,
454,,Golden Crackles,25g,
455,,Instant oat cereal e.g. Ready Brek,,
456,,"made up weight,",,
457,,"average portion, small (1⁄4 pint milk)",130g,
458,,medium (1⁄4 pint milk),180g,
459,,large (1/3  pint milk),225g,
460,,"Lucky Charms, Nestlé",30g,
461,,"Muesli cereals, not crunchy e.g. Alpen, Country Store",,
462,,"1 average portion, small",30g,
463,,medium,50g,
464,,large,80g,
465,,1 4oz cup muesli,JOOg,
466,,1 sachet Alpen,40g,
467,,1 tablespoon,15g,
468,16.0,,,
469,"Muesli, crunchy","e.g. Original Crunchy, Harvest Crunch",,
470,,"1 average portion, small",40g,
471,,medium,60g,
472,,large,lOOg,
473,,1 tablespoon,20g,
474,"Multi Cheerios, Nestlé",1 tablespoon,5g,
475,"Pop Tarts, Kelloggs",each,52g,
476,Porridge,"made up weight,",,
477,,"average portion, small",hOg,
478,,medium,160g,
479,,large,2lOg,
480,Puffed wheat,1 average portion,20g,
481,,1 tablespoon,3g,
482,Rice Krispie type cereals,"e.g. Rice Krispies, Ricicles, Puffed Rice",,
483,,"Cocopops, Special K",,
484,,"I average portion, small",20g,
485,,medium,30g,
486,,large,,
487,,1 tablespoon,4g,
488,,"1 variety pack, Cocopops",30g,
489,,Rice Krispies,20g,
490,,Ricicles,30g,
491,"Shredded Wheat, Nestlé",average portion (2),45g,
492,,each,22g,
493,,"Mini, average portion, small",35g,
494,,medium,45g,
495,,large,70g,
496,"Shreddies, Nestlé",average portion,45g,
497,Splitz type cereal,"average portion, small",,
498,eg raisin,medium,40g,
499,,large,60g,
500,,1 tablespoon (7 pieces),99,
501,"Start multi-grain, Kelloggs",1 tablespoon (15 pieces),6g,
502,Sugar puff type cereals,"e.g. Sugar Puffs, Smacks",,
503,,"1 average portion, small",20g,
504,,medium,30g,
505,,large,50g,
506,,1 tablespoon,6g,
507,Weetabix,1 bisk,20g,
508,"CAKES, BUNS AND PASTRIES",,,
509,Almond slice,35g,,
510,American muffins purchased,85g,,
511,"Angel sandwich purchased, average slice",40g,,
512,Apple and mincemeat tart individual,88g,,
513,Apple strudel slice,115g,,
514,Apple sundae,53g,,
515,Apple turnover individual,lOOg,,
516,Bakewell tart individual,43g,,
517,slice of large tart,I20g,,
518,"Baklava, Greek pastry",JOOg,,
519,Banana cake average slice,85g,,
520,"Battenburg purchased, average slice",32g,,
521,Belgian bun,hOg,,
522,Black forest gateau average portion,90g,,
523,Blackcurrant and apple slice,32g,,
524,Blackcurrant sundae,55g,,
525,Chelsea bun,78g,,
526,Cherry bakewell,46g,,
527,Cherry fruit cake average slice,42g,,
528,Cherry slice,38g,,
529,,,A,
530,Chocolate cake with,,,
531,buttercream,average slice,65g,
532,,"frozen, average slice",35g,
533,Chocolate cupcake,,40g,
534,Chocolate eclair,bakery or home-made,90g,
535,,"purchased, frozen, fresh cream,",35g,
536,"Chocolate fancy, Lyons",,25g,
537,Chocolate fudge slice,,98g,
538,Chocolate krispie cake,,,
539,Chocolate mini roll,,25g,
540,"Chocolate swirl, Lyons",,28g,
541,Choux bun,filled with cream,112g,
542,Coconut cake,average slice,40g,
543,"Coconut crunch cake, Lyons",,27g,
544,Coconut pyramid,,25g,
545,Country slice,,38g,
546,Cream horn,,60g,
547,Cream slice,,lOOg,
548,"Cupcakes, Lyons","purchased, iced",39g,
549,Currant bun,,60g,
550,Custard tart,individual,94g,
551,,slice of large tart,140g,
552,Dairy cream sponge,average slice,39g,
553,Danish pastry,large,I80g,
554,,medium,hOg,
555,Devonshire split,,65g,
556,Doughnut,apple filling,85g,
557,,"cream, custard filling",75g,
558,,iced,75g,
559,,jam filling,75g,
560,,"large, iced or filled",I30g,
561,,ring,60g,
562,Eccies cake,,45g,
563,Fairy cake,,28g,
564,Flake cake,,31g,
565,Flapjack,medium slice,60g,
566,,large slice,90g,
567,Florentines,,60g,
568,French fancy,fondant fancy,30g,
569,Fruit cake,"plain, average slice, homemade",90g,
570,,"plain, average slice, purchased",60g,
571,,"rich, average slice",70g,
572,,rich with marzipan and icing,70g,
573,Fruit malt loaf,,35g,
574,Fruit pies,see Puddings and fruit pies,,
575,Gateau with fresh cream,average slice,85g,
576,,individual pot,90g,
577,Gingerbread man,,50g,
578,"Gingerbread, parkin",,50g,
579,Hot cross bun,,50g,
580,Iced bun,,65g,
581,Jam tart,individual,34g,
582,,slice of large tart,90g,
583,Jamaica ginger cake,average slice,35g,
584,Lemon meringue pie,average slice,150g,
585,,individual,39g,
586,Macaroons,,28g,
587,Madeira,"purchased, average slice",40g,
588,Melting moment,,30g,
589,Meringue,with cream,,
590,,without cream,8g,
591,Mince pie,individual,55g,
592,,slice of large pie,90g,
593,Mini-roll,chocolate/vanilla,25g,
594,,raspberry/vanilla,27g,
595,"Ostler, Lyons",any flavour,30g,
596,"Pakiava, Greek pastry",,lOOg,
597,Rock cake,,45g,
598,Rum Baba,,198g,
599,Russian cake,"sliced, average slice",180g,
600,Scones,drop scones,31g,
601,,"plain, fruit, cheese",48g,
602,,potato,57g,
603,,wholemeal,50g,
604,,"with cream and jam, purchased",50g,
605,Sponge cake,"no fat, with cream, purchased",58g,
606,,"with fat, with buttercream filling,",,
607,,average slice,60g,
608,,"with fat, with jam filling,",,
609,,average slice,60g,
610,Sponge finger,each,4g,
611,Sultana cake,"purchased, average slice",50g,
612,Swiss bun,,50g,
613,Swiss roll,average slice,30g,
614,Teacake,fresh,60g,
615,,toasted,55g,
616,Treacle tart,individual,35g,
617,Trifle sponge,,24g,
618,Vanilla slice,,113g,
619,Viennese slice,average,34g,
620,Viennese split,each,16g,
621,Viennese whirl,each,27g,
622,Welsh cakes,,28g,
623,CHEESE AND CHEESE DISHES,,,
624,Camembert type cheese /6 portion,40g,,
625,average portion,40g,,
626,"Cauliflower cheese average portion, main dish",200g,,
627,side dish,90g,,
628,frozen purchased ready,,,
629,"meal, for one",235g,,
630,"Cheddar type cheese chunk, small",20g,,
631,medium,40g,,
632,large,60g,,
633,"grated, 1 tablespoon",lOg,,
634,matchbox size piece,30g,,
635,"pick 'n' mix, each",20g,,
636,"in ploughmans lunch, average",120g,,
637,"in sandwich, average (cheese only)",45g,,
638,Cheese and egg Han 1 slice,120g,,
639,Cheese and onion pastie,125g,,
640,"Cheese triangle small, Dairylea",14g,,
641,Laughing Cow,17g,,
642,"large, Dairylea chunky",25g,,
643,Cottage cheese 1 small pot,112g,,
644,1 tablespoon,40g,,
645,in sandwich,50g,,
646,"Cream cheese pick 'n' mix, each",17g,,
647,"in sandwich, average",30g,,
648,"Crispy cheese pancake purchased frozen, fried",68g,,
649,Danish blue average portion,30g,,
650,Edam/Gouda type average portion,40g,,
651,Fromage frais see Yoghurt and fromage frais,,,
652,"Low fat soft cheese,",,,
653,Quark,I heaped tablespoon,55g,
654,Macaroni cheese,average portion,300g,
655,,"canned, large tin",430g,
656,,small tin,210g,
657,Mini baby bel,each,18g,
658,Pizza,"chilled/frozen, large",350-500g,
659,,medium,200g,
660,,"frozen, fun size",40g,
661,,individual slices,lOOg,
662,,small,lOOg,
663,,"homemade, average portion",300g,
664,"Pizza, deep pan",,,
665,diameter,"average, cheese & tomato",116g,
666,,meat/fish,160g,
667,,vegetarian,150g,
668,,'special',190g,
669,"diameter, children's","average, cheese & tomato",220g,
670,diameter (serves 1),"average, cheese & tomato",230g,
671,,meat/fish,290g,
672,,vegetarian,300g,
673,,'special',360g,
674,,1 slice = '/4 of total weight of pizza,,
675,"9-10"" diameter (serves 1-2)","average, cheese & tomato",410g,
676,,meat/fish,500g,
677,,vegetarian,500g,
678,,'special',580g,
679,,1 slice = '/6 of total weight of pizza,,
680,"12"" diameter (serves 2-3)","average, cheese & tomato",700g,
681,,meat/fish,800g,
682,,vegetarian,800g,
683,,'special',890g,
684,,1 slice = '/8 of total weight of pizza,,
685,"Pizza, thin crust",,,
686,"7"" diameter (serves 1) average, cheese & tomato",116g,,
687,meat/fish,150g,,
688,vegetarian,150g,,
689,'special',190g,,
690,1 slice = 1⁄4 of total weight of pizza,,,
691,"9-10"" diameter (serves 1-2) average, cheese & tomato",260g,,
692,meat/fish,310g,,
693,vegetarian,340g,,
694,'special',350g,,
695,1 slice = 1⁄4 of total weight of pizza,,,
696,"12"" diameter (serves 2-3) average, cheese & tomato",560g,,
697,meat/fish,660g,,
698,'special',740g,,
699,vegetarian,660g,,
700,I slice = '/s of total weight of pizza,,,
701,"Average weights of extra toppings, per individual medium pizza (10"" thin crust, 7""",,,
702,deep pan),,,
703,anchovies,lOg,,
704,cheese,30g,,
705,"ham, bacon, pepperoni, salami, sausage",30g,,
706,"mushroom, pepper, onion, sweetcorn",30g,,
707,pineapple,60g,,
708,"spicy beef, chicken",30g,,
709,"tuna, olives",15g,,
710,Processed cheese I slice,20g,,
711,"I triangle, small",14g,,
712,"Dairylea, Laughing Cow",17g,,
713,"1 triangle, large, Dairylea chunky",25g,,
714,Stilton,35g,,
715,"Vol au vents filled with cheese sauce, 1 small",30g,,
716,Welsh rarebit topping only,40g,,
717,"with toast, 1 slice",67g,,
718,CONFECTIONERY,,,
719,"Aero milk chocolate, Nestlé",,,
720,Rowntree,bar,48g,
721,,chunky bar,37g,
722,,snack size,28g,
723,,mini,Jig,
724,"After Eight mints, Nestlé",,,
725,Rowntree,each,8g,
726,American hard gums,tube,45g,
727,,each,,
728,Aniseed balls,each,4g,
729,"Applause, Mars",standard bar,50g,
730,,fun size,24g,
731,Barker and Dobson menthol,,,
732,BPC,each,8g,
733,Barley sugar,piece,7g,
734,Barratt's everlasting toffee,,,
735,strip,,22g,
736,Barratt's French nougat,bar,114g,
737,Barratt's fruit drops,box,115g,
738,,small packet,56g,
739,,each,16g,
740,Bassett's jelly babies,box,115g,
741,,small packet,56g,
742,Bassett's liquorice Allsorts,box,115g,
743,,small packet,56g,
744,,each,5g,
745,Bettabar,bar,30g,
746,"Black Magic, Nestlé",,,
747,Rowntree,"chocolate assortment, each",8g,
748,Blackjacks,each,4g,
749,Bonbons,packet,113g,
750,"Boost bars, Cadbury's",Biscuit Boost,57g,
751,,snack size,36g,
752,,treat size,21g,
753,,Coconut Boost,53g,
754,"Bounty bar, Mars","plain/milk, twin",57g,
755,,mini,29g,
756,,"Bournville chocolate,",,
757,,Cadbury's,small bar,50g
758,,"Bournville Fruit & Nut bar,",,
759,,Cadbury's,,JOOg
760,,Brazil nut chocolates,each,12g
761,,Bubble gum,average each,4g
762,,,bubble hamburger,6g
763,,,Bubblicious,5g
764,,,High blow,8g
765,,,Hubba bubba,6g
766,,,Super bazooka,8g
767,,Buttermints,each,7g
768,,Butterscotch,packet,133g
769,,"Buttons, chocolate,",,
770,,Cadbury's,large packet,51g
771,,,standard packet,33g
772,,,4 buttons,5g
773,,,treat size,14g
774,,,"creamy white buttons, packet",32g
775,,Cadbury's Bar Six,,40g
776,,Cadbury's Caramel,bar,50g
777,,,treat size,17g
778,,Cadbury's Caramel Egg,,40g
779,,Cadbury's Chomp,,26g
780,,Cadbury's Creme Egg,,39g
781,,,mini,12g
782,,Cadbury's Crunchie,,42g
783,,,treat size,17g
784,,Cadbury's Curly Wurly,,29g
785,,Cadbury's Dairy Milk,,
786,,chocolate,standard bar,54g
787,,,snack size,30g
788,,,vending,43g
789,,,miniatures,5g
790,,,square,7g
791,,,treat size,15g
792,,Cadbury's Double Decker,standard bar,51g
793,,,treat size,19g
794,,Cadbury's Flake,bar,34g
795,,,"99, treat size, finger",99
796,i1,,,
797,Cadbury's Finger of Fudge,bar,30g,
798,,treat size,I5g,
799,Cadbury's Fruit & Nut milk,,,
800,chocolate,standard,52g,
801,,snack,30g,
802,Cadbury's Golden Crisp,,JOOg,
803,Cadbury's Mini Eggs,packet,85g,
804,,each,3g,
805,Cadbury's Nut Crisp,bar,44g,
806,Cadbury's Old Jamaica,,lOOg,
807,Cadbury's Picnic,bar,49g,
808,,snack,29g,
809,Cadbury's Shoe People,,15g,
810,Cadbury's Snack,6 shortbread,42g,
811,,1 shortbread,7g,
812,Cadbury's Spira,finger,20g,
813,Cadbury's Tasters,packet,45g,
814,Cadbury's Tiffin,,JOOg,
815,Cadbury's Time Out bar,bar,40g,
816,,finger,20g,
817,,treat size,20g,
818,Cadbury's Top Deck,,JOOg,
819,Cadbury's Twirl,bar,44g,
820,,finger,22g,
