,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
406,11-980,"Bread, white, sliced",15 samples,AF,11-468 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,943,223,1.6,0.29,42.1,3.2,38.8,2.5,8.8,1,Cereals and cereal products
408,11-1001,"Bread, white, toasted",15 samples. Calculated using weight loss of 18%,AF,11-475 ,"White bread sliced from LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,1151,272,2,0.35,51.3,3.9,47.4,3,10.7,1.23,Cereals and cereal products
411,11-981,"Bread, wholemeal, average","21 samples, sliced and unsliced",AF,11-476 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Vitamin K1 value from Bolton-Smith et al, Br. J. Nutr. 83, 2000",,977,231,2.5,0.46,38.4,2.7,35.7,7,10.3,1,Cereals and cereal products
380,11-983,"Bread rolls, brown, soft","14  samples of 6 rolls, different shops",AG,11-478 ,"LLGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Inorganics estimated from brown bread",,1030,244,3.2,1.1,41,2.8,38.2,4.3,10.6,0.95,Cereals and cereal products
381,11-984,"Bread rolls, malted wheat","10 samples, pre-packed, freshly baked, including granary products",AG,11-479 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,1032,245,4.2,1.08,38.9,2.8,36.1,4.4,10.6,0.93,Cereals and cereal products
382,11-985,"Bread rolls, white, crusty",10 samples,AG,11-482 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,1125,266,2.2,0.51,50,2.7,47.4,2.9,10,1,Cereals and cereal products
384,11-986,"Bread rolls, wholemeal",10 samples,AG,11-484 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Vitamins (except folate) either estimated from wholemeal bread or from 50-064 (CCP, 1988).",,1074,254,3.3,0.8,42.2,2.6,39.5,5.5,11.3,0.95,Cereals and cereal products
417,11-763,"Breakfast cereal, bran flakes, fortified","15 samples, 8 products, including Kellogg's and own brands",AI,11-486 ,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,1516,359,2.2,0.31,67.8,20.2,47.5,13.4,10.3,0.9,Cereals and cereal products
420,11-742,"Breakfast cereal, cornflakes, fortified","15 samples, 9 products, including Kellogg's and other / own brands",AI,11-490 ,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,1584,373,0.8,0.14,83.1,7.1,76,2.6,7.1,1.13,Cereals and cereal products
425,11-779,"Breakfast cereal, fruit and fibre type, fortified","10 samples, 7 products, including Kellogg's Fruit 'n Fibre and own brand",AI,11-493 ,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,1550,367,5.8,2.65,65.9,25.8,40.1,8.6,8.6,0.88,Cereals and cereal products
426,11-755,"Breakfast cereal, honey loops and hoops, including Honey and Nut Cheerios, fortified","8 samples, 5 products, including Honey Loops and own brands. Based on Honey Nut Cheerios and products containing nuts",AI,,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,1513,358,3.1,0.67,73.2,33.2,40,4.3,7.1,0.7,Cereals and cereal products
427,11-792,"Breakfast cereal, instant hot oat, plain, raw, fortified","10 samples, 7 products, including Ready Brek and own brands",AI,11-496 ,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,1536,365,7.3,1.2,58.7,0.5,58.3,8.5,11.8,0.01,Cereals and cereal products
435,11-753,"Breakfast cereal, rice, chocolate flavoured, fortified","10 samples, 5 products, including Coco Pops and own brand",AI,11-488 ,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,1598,377,2.3,1.2,83.2,36,47.2,2,4.8,0.8,Cereals and cereal products
440,11-778,"Breakfast cereal, Shredded Wheat, honey nut, Nestle","6 samples, 1 product",AI,,"LGC, Nutrient survey of breakfast cereals, 2004",,1595,378,5.4,1.83,67.2,18.7,48.5,9.2,10.6,0.02,Cereals and cereal products
442,11-773,"Breakfast cereal, wheat biscuits, Weetabix type, fortified","10 samples, 6 products, including Weetabix and own brands",AI,11-505 ,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,1467,347,1.9,0.26,66.3,3.8,62.5,9.7,11.3,0.65,Cereals and cereal products
321,11-821,"Biscuits, cheese flavoured","10 samples, 5 products, including Cheddars, Mini Cheddars, cheese melts and cheese savouries",AM,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,2095,502,28.1,11.67,48.5,2.6,45.9,4.5,11.5,2.21,Cereals and cereal products
323,11-815,"Biscuits, cookies, chocolate chip, standard","10 samples, 7 products, including Maryland, Fox's and own brand",AM,11-508 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1995,477,24.9,12.15,55.8,28.6,27.3,3,5.9,0.75,Cereals and cereal products
325,11-799,"Biscuits, digestive, plain","10 samples, 7 products",AM,11-513 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1961,468,21.3,7.71,60.4,16.7,43.7,3.8,6.8,1.4,Cereals and cereal products
327,11-809,"Biscuits, fully coated with chocolate","10 samples, 6 products, including Breakaway, Rocky and chocolate fingers",AM,11-506 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,2137,511,27.2,15.06,58.7,37.3,21.4,1.7,7,0.57,Cereals and cereal products
337,11-801,"Biscuits, plain, reduced fat","10 samples, 5 products, including digestives, rich tea and reduced fat Hobnobs",AM,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1844,438,13.5,4.31,69.8,20.2,49.5,4.4,7.3,1.18,Cereals and cereal products
416,11-826,"Breadsticks, plain","10 samples, 5 products",AM,17-123 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1660,393,8.1,6.01,66.4,3.1,63.3,3.7,11.9,2.04,Cereals and cereal products
94,11-1029,"Banana bread, homemade",Recipe,AN,11-573 ,Based on Mary Berry's complete cookbook. Recalculated 2014,,1414,337,12.4,3.27,50.9,35,15.8,1.4,4.7,0.43,Cereals and cereal products
456,11-1127,"Brownies, chocolate, homemade",Recipe,AN,,Updated 2014,,2140,513,30.8,16.43,51.4,43.9,7.5,1.7,6.7,0.47,Cereals and cereal products
87,11-970,"Bagels, plain",2 brands,AP,11-534 ,"RHM, Nutrient content of selected foods, 1995; and industry data, 2013",,1159,274,1.8,0.36,52.9,4.7,46.6,3,10,1,Cereals and cereal products
378,11-1038,"Bread pudding, homemade",Recipe,AS,11-594 ,Recalculated 2014,,1180,280,7.7,N,45.9,32.5,13.4,1.2,6.2,0.6,Cereals and cereal products
92,12-500,"Baking fat and margarine (75-90% fat), hard block","10 samples, 4 products, including Stork and own brands",BTM,17-539 17-018 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,2827,688,76.4,26.41,0,0,0,0,0,1.5,Milk and milk products
89,13-532,"Baked beans, canned in tomato sauce","16 samples, 9 brands",DB,,"DH, Nutrient analysis of fruit and vegetables, 2013",,380,90,0.5,0.09,13.9,4.6,9.3,4.9,5.1,0.65,Vegetables
121,13-041,"Beans, aduki, whole, dried, raw","6 samples, whole beans",DB,50-692 ,"LGC, Fruit and vegetables, 1989-1990",,1206,286,0.5,0.19,41.6,1,40.6,17.8,19.9,0.01,Vegetables
124,13-062,"Beans, blackeye, whole, dried, raw",Analysis and literature sources,DB,50-700 ,"LGC, Fruit and vegetables, 1989-1990",,1325,313,1.6,0.5,46,2.8,43.2,10.6,23.5,0.04,Vegetables
130,13-070,"Beans, butter, dried, raw",Analysis and literature sources,DB,,"As Vegetables, Herbs and Spices Supplement, 1991 13-062",,1337,318,1.7,0.4,45.4,3.4,42,22.1,19.1,0.1,Vegetables
136,13-074,"Beans, chick peas, Kabuli, whole, dried, raw",Analytical and literature sources.,DB,50-704 ,"LGC, Fruit and vegetables, 1989-1990. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,1450,345,5.4,0.5,42.3,2.5,39.8,20.9,21.4,0.1,Vegetables
137,13-080,"Beans, cluster, raw",5 samples. Ends trimmed,DB,,"Vegetables, Herbs and Spices Supplement, 1991",,158,38,0.1,0,3,2.9,0.1,7.3,2.6,0,Vegetables
138,13-667,"Beans, edamame, frozen, boiled in unsalted water","7 samples, 5 products, including shelled and in pods. Boiled for 3-6 minutes, pods discarded ",DB,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,657,158,7.6,0.85,6,2.5,3.5,5.9,13.3,0.01,Vegetables
140,13-514,"Beans, green, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, including dwarf, fine and extra fine, not runner bean",DB,13-431 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,133,32,0.4,0.08,3.1,2.2,0.9,3.4,2.1,0,Vegetables
143,13-086,"Beans, haricot, whole, dried, raw",Whole beans,DB,,"MW4, 1978. Values revised for Vegetables, Herbs and Spices Supplement, 1991",,1280,304,1.6,0.3,41.5,2.7,38.8,19,21.4,0.11,Vegetables
145,13-098,"Beans, mung, dahl, dried, raw","Split beans, no seed coat. Literature sources",DB,,"Vegetables, Herbs and Spices Supplement, 1991",,1333,317,1.1,0.3,38.6,1.5,37.2,22.5,26.8,0.03,Vegetables
152,13-102,"Beans, pigeon peas, whole, dried, raw",Literature sources,DB,,"Vegetables, Herbs and Spices Supplement, 1991",,1418,336,1.9,0.4,51.5,1.6,49.8,16.6,20,0.1,Vegetables
154,13-106,"Beans, pinto, dried, raw",Whole beans. Literature sources,DB,,"Vegetables, Herbs and Spices Supplement, 1991",,1419,336,1.6,0.2,51.9,1,48.9,14.8,21.1,0.03,Vegetables
158,13-109,"Beans, red kidney, dried, raw",Whole beans. Analytical and literature sources,DB,50-716 ,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990",,1321,314,1.4,0.2,40.3,2.4,34.5,26,22.1,0.05,Vegetables
160,13-112,"Beans, runner, raw",Ends and sides trimmed,DB,50-719 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,114,27,0.4,0.1,3.1,2.8,0.4,2.3,1.6,0,Vegetables
162,13-115,"Beans, soya, dried, raw",Whole beans. Analysis and literature sources,DB,50-721 ,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990; and Vegetables, Herbs and Spices Supplement, 1991",,1674,401,18.6,2.3,14.7,5.3,4.4,15.7,35.9,0.01,Vegetables
163,13-117,"Beans, sword, raw",Literature sources,DB,,"Vegetables, Herbs and Spices Supplement, 1991",,193,46,0.3,0.06,7.2,5.8,1.4,2,2.6,0.07,Vegetables
165,13-426,"Beansprouts, mung, raw",As purchased,DB,13-052 50-696 ,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987; Selenium from  'Analysis of foods for Selenium', 1994. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,146,35,0.5,0.1,3.8,2.2,1.6,1.5,2.9,0.01,Vegetables
348,13-056,"Black gram, urad gram, whole, dried, raw",Literature sources,DB,50-698 ,"Vegetables, Herbs and Spices Supplement, 1991",,1240,295,1.4,0.2,35.4,1.2,34.2,20.4,24.9,0.1,Vegetables
274,13-164,"Beetroot, raw","Top and root trimmed, peeled",DG,50-741 ,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,176,42,0.1,0,7.2,6.7,0.5,2.6,1.7,0.17,Vegetables
414,13-167,"Breadfruit, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,444,105,0.3,0.05,21.1,1.2,19.9,4.9,2.1,0,Vegetables
450,13-502,"Broccoli, green, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, Calabrese",DG,13-170 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,183,44,0.6,0.15,3.1,1.9,0.5,4,4.3,0.02,Vegetables
453,13-174,"Broccoli, purple sprouting, raw",Tough stems and coarse leaves removed,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,193,46,1.1,0.2,2.3,2.1,0.2,5.5,3.9,0.03,Vegetables
458,13-177,"Brussels sprouts, raw","Base trimmed, outer leaves removed",DG,50-746 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,214,51,1.4,0.3,4,3.1,0.7,4.1,3.5,0.02,Vegetables
115,15-664,"Bean loaf, mixed beans, homemade",Recipe from dietary survey records,DR,15-387 ,Updated 2014,,640,153,7.2,0.59,13,3.4,9.5,4.3,6.9,0.01,Vegetables
118,15-667,"Beanburger, red kidney bean, fried in rapeseed oil",Recipe from Leeds Polytechnic,DR,15-390 ,Updated 2014,,875,210,10.7,0.85,19.6,2.5,16.1,4.8,6.3,0.18,Vegetables
278,15-669,"Bhaji, aubergine and potato, homemade",Recipe from review of recipe collection,DR,15-391 ,Updated 2014,,578,139,8.8,0.61,12.4,3.2,8.6,1.4,1.8,0.02,Vegetables
280,15-672,"Bhaji, cabbage and pea, with butter ghee, homemade",Bangladeshi dish. Recipe adapted from literature sources,DR,15-394 ,Updated 2014,,767,185,14.2,8.31,8.5,7,1.5,4.8,3.4,0.63,Vegetables
287,15-676,"Bhaji, carrot, potato and pea, with butter, homemade",Punjabi dish. Recipe from dietary survey records,DR,15-398 ,Updated 2014,,510,122,6.6,4.01,11.6,6.5,5.1,4.1,2.1,0.18,Vegetables
460,15-703,"Bubble and squeak, fried in sunflower oil, homemade","Fried cabbage and potato. Recipe from Wiles et al, 1980",DR,15-426 ,Updated 2014,,540,130,9.1,1.11,9.4,1.6,7.8,1.9,1.7,0.01,Vegetables
355,14-364,"Blackberry and apple, stewed without sugar","Calculated from 400g blackberries, 550g apples, 175g water",F,14-055 ,Updated 2014,,148,35,0.2,0.03,6.3,6.3,0,1.9,0.5,0.01,Fruit
64,14-043,"Babaco, flesh only",Literature sources,FA,,"Cashel et al (1989) Composition of foods, Australia, volume 1, and Wu Leung and Flores (1961) Food composition table for use in Latin America, Institute of Nutrition of Central America and Panama",,91,22,0.1,0,3.1,3.1,0,0.9,1.1,0.01,Fruit
96,14-318,"Bananas, flesh only","11 samples, including Fairtrade and organic, pre-packed and loose",FA,14-045 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,380,90,0.1,0.04,20,18,2,1.4,1.1,0,Fruit
351,14-388,"Blackberries, raw","11 samples, UK and imported",FA,14-048,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,216,51,0.2,0,5.6,5.6,0,3.4,1.1,0,Fruit
358,14-053,"Blackcurrants, raw","Whole fruit, stalks removed",FA,50-872 ,"MW1, 1940; and Fruit and Nuts Supplement, 1992",,201,48,0,0,6.7,6.7,0,3.6,0.9,0.01,Fruit
364,14-325,Blueberries,"21 samples, summer and winter, UK grown and imported",FA,,"DH, Nutrient analysis of fruit and vegetables, 2013",,198,47,0.2,0.02,9.1,9.1,0,1.5,0.9,0.01,Fruit
415,14-895,"Breadnut seeds, dried",Literature sources,G,14-810  ,"McCarthy and Matthews (1984) Composition of foods: nut and seed products, raw, processed and prepared, Agriculture Handbook No. 8-12. USDA SR27 (2014).",,N,N,1.7,0.5,N,N,N,14.9,10.2,0.13,Nuts and Seeds
277,14-806,Betel nuts,Literature sources,GA,,"Wu Leung et al. (1972) Food composition table for use in East Asia, and McCarthy and Matthews (1984) Composition of foods: nut and seed products, raw, processed and prepared",,1448,345,10.2,7.65,51.5,1.8,49.7,11.4,6.1,0.19,Nuts and Seeds
108,13-805,"Basil, dried, ground",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,866,209,4,0.2,10.1,1.7,8.4,37.7,14.4,0.09,Herbs and Spices
109,13-804,"Basil, fresh",6 samples and literature sources,H,,"Reviewed 2013. LGC, Fruit and Vegetables, 1989-1990; Polacchi et al. (1982) Food composition tables for the near east; and Wu Leung et al. (1972) Food composition table for use in East Asia",,114,27,0.8,0.04,1.1,0.3,0.8,1.6,3.1,0.02,Herbs and Spices
112,16-385,"Bass, sea, flesh only, raw","10 samples, 10 products, frozen and chilled",JA,,"DH, Nutrient analysis of fish and fish products, 2013",,703,168,9.8,2.16,0,0,0,0,20,0.18,Fish and Fish Products
275,16-003,"Bele, raw",Literature sources. Imported frozen from Bangladesh,JA,,"Fish and Fish Products Supplement, 1993",,286,68,0.7,0.03,0,0,0,0,15.3,0.23,Fish and Fish Products
365,16-004,"Boal, raw",Literature sources. Imported frozen from Bangladesh,JA,,"Fish and Fish Products Supplement, 1993",,361,86,2.7,0.48,0,0,0,0,15.4,0.21,Fish and Fish Products
368,16-005,Bombay duck,"Literature sources. Salted dried fish, also known as dried lottiya",JA,,"Fish and Fish Products Supplement, 1993",,1197,283,4,1.55,0,0,0,0,61.7,17.57,Fish and Fish Products
444,16-006,"Bream, Sea, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,405,96,2.9,0.87,0,0,0,0,17.5,0.28,Fish and Fish Products
65,16-169,"Bacha, raw",Literature sources. Imported frozen from Bangladesh,JC,,"Gopalan et al (1980) Nutritive value of Indian foods. National Insitute of Nutrition, Indian Council of Medical Research",,515,123,5.6,0.8,0,0,0,0,18.1,0.24,Fish and Fish Products
70,19-646,"Bacon rashers, back, fat trimmed, raw","24 samples, back fat removed. MLC data and calculation from 19-499",MAA,19-007 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; industry data 2013; vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,568,136,6.7,2.5,0,0,0,0,18.8,2.5,Meat and meat products
176,18-006,"Beef, braising steak, raw, lean",10 samples,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,582,139,5.7,2.4,0,0,0,0,21.8,0.16,Meat and meat products
185,18-003,"Beef, fat, average, raw","Average of 10 different cuts, trimmed of lean",MAC,50-361 18-431 ,"Reviewed 2013. LGC, Nutrient analysis of carcase beef, 1992-1993 (fatty acid data in 18-431 not integrated because samples are from different cuts of meat)",,2304,558,53.6,24.9,0,0,0,0,18.9,0.07,Meat and meat products
193,18-016,"Beef, fillet steak, raw, lean",17 samples,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,586,140,6.1,2.8,0,0,0,0,21.2,0.11,Meat and meat products
197,18-024,"Beef, flank, raw, lean",6 samples,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,730,174,9.3,3.8,0,0,0,0,22.7,0.16,Meat and meat products
202,18-028,"Beef, fore-rib/rib-roast, raw, lean",10 samples,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,606,145,6.5,2.9,0,0,0,0,21.5,0.15,Meat and meat products
207,18-468,"Beef, lean, average, raw","Average of 10 different cuts, trimmed of fat",MAC,18-430 18-001 50-363 ,"Reviewed 2013. LGC, Nutrient analysis of carcase beef, 1992-1993. Iron from LGC, The determination of different forms of Iron in foodstuffs, 1997",,542,129,4.3,1.74,0,0,0,0,22.5,0.16,Meat and meat products
213,18-469,"Beef, mince, raw",10 samples,MAC,18-036 50-369  ,"Reviewed 2013. LGC, Nutrient analysis of carcase beef, 1992-1993. Vitamin D data from LGC, Determination of 25-OH vitamin D in selected foodstuffs, 1997",,934,225,16.2,6.94,0,0,0,0,19.7,0.2,Meat and meat products
226,18-043,"Beef, rump steak, raw, lean",10 samples,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,526,125,4.1,1.7,0,0,0,0,22,0.15,Meat and meat products
232,18-054,"Beef, silverside, raw, lean",10 samples,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,564,134,4.3,1.6,0,0,0,0,23.8,0.16,Meat and meat products
250,18-064,"Beef, sirloin steak, raw, lean",10 samples,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,566,135,4.5,2,0,0,0,0,23.5,0.18,Meat and meat products
256,18-076,"Beef, stewing steak, raw, lean",10 samples,MAC,,"Reviewed 2013. LGC, Nutrient analysis of carcase beef, 1992-1993",,514,122,3.5,1.4,0,0,0,0,22.6,0.17,Meat and meat products
263,18-084,"Beef, topside, raw, lean",10 samples,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,491,116,2.7,1.1,0,0,0,0,23,0.19,Meat and meat products
372,18-392,"Brain, lamb, boiled",11 samples,MG,,"MW4, 1978. Values reviewed for Meat Products and Dishes Supplement, 1996",,523,126,8.8,2,0,0,0,0,11.6,0.53,Meat and meat products
350,19-113,"Black pudding, raw","8 samples, 6 brands",MI,336,"LGC, Analytical survey of meat products, 1990-1991",,1159,279,20.6,7.7,13.3,0,13.3,2,9.1,2.08,Meat and meat products
480,17-685,"Butter, salted","Average of UK/Irish, Danish, French, New Zealand",OA,17-485 ,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998; and industry data, 2013. Fats and fatty acids as Fatty Acid Supplement 17-013, 1998. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,3062,745,82.2,52.09,0.6,0.6,0,0,0.6,1.83,Fats and Oils
483,17-661,"Butter, unsalted","Average of UK/Irish, Danish, French, New Zealand",OA,,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fats and fatty acids as FA Supplement 17-013, 1998. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,3062,745,82.2,52.09,0.6,0.6,0,0,0.6,0.02,Fats and Oils
484,17-001,"Butteroil, unsalted",Calculated from butter,OB,,"Miscellaneous Foods Supplement, 1994",,3685,896,99.3,65.6,0,0,0,0,0.6,0.04,Fats and Oils
462,17-823,"Build up, powder, shake, assorted flavours","Manufacturer's data (Nestlé). Average of chocolate, strawberry, banana and vanilla flavours",PAA,17-534 ,Industry data 2013; some minerals estimated from MW5,,1460,345,0.7,0.4,60,59,0,8.2,20.5,0.63,Beverages
105,17-743,"Barley water, undiluted",Orange and lemon flavours,PCC,17-185 ,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",,388,91,0,0,22.5,20.5,2,0,0.3,0.04,Beverages
357,17-737,"Blackcurrant juice drink/squash, undiluted",Including Ribena and own brands,PCC,17-187 ,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",,893,210,0,0,52.4,52.4,0,0,0.1,0.04,Beverages
270,17-208,"Beer, bitter, best, premium","Mixed sample from different brewers, ABV 4-5%, including Fullers London Pride, Spitfire, Green King Abbot",QA,,"Reviewed 2013. LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984",,140,33,0,0,2.1,2.1,0,0,0.3,0.02,Alcoholic beverages
371,17-766,Bounty bar and own brand equivalents,Manufacturer's data (Mars). milk chocolate,SEA,17-546 ,"Data from manufacturer (Mars). Total carbohydrate and its components, starch and sugars, are expressed as their monosaccharide equivalents. Fatty acid data is available in obsoleted  17-082  but from a sample with slightly different fatty acid proportions",,2044,489,26.3,20.5,57.8,48.2,9.6,3.2,3.7,0.45,"Sugars, preserves and snacks"
369,17-764,Bombay mix,"20 samples; savoury mix of gram flour, assorted peas, lentils, nuts and seeds",SN,14-807 ,"LGC, Survey on the Nutritional Composition of savoury snack and nuts, 1993; and industry data, 2013. Fatty Acid Supplement, 1998 (14-807)",,2153,517,32.9,3.95,32.1,2.3,29.8,8.8,18.8,1.6,"Sugars, preserves and snacks"
370,17-770,"Bouillabaisse, homemade",Recipe,WAA,17-597 ,Updated 2014,,610,147,10.5,1.34,1.6,1.5,0.1,0.4,11.3,0.14,"Soups, sauces and miscellaneous foods"
