,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
741,13-813,Chinese 5 spice,Calculated from recipe,H,,"Reviewed 2013. Vegetables, Herbs and Spices Supplement, 1991",,1241,300,8.7,1.4,24.8,1.9,22.9,41.9,9.6,0.16,Herbs and Spices
743,13-887,"Chives, fresh",Literature sources,H,13-814 ,"USDA SR26, 2013",,135,32,0.7,0.15,1.9,1.9,0,2.5,3.3,0.01,Herbs and Spices
771,13-874,"Cinnamon, ground",Literature sources,H,13-815 ,"USDA SR26, 2013",,1066,257,1.2,0.35,31.1,2.1,29,53.1,4.0,0.03,Herbs and Spices
774,13-816,"Cloves, dried",Literature sources,H,,"Vegetables, Herbs and Spices Supplement, 1991",,1158,282,20.1,4.4,2.4,2.4,0,33.9,6.0,0.6,Herbs and Spices
841,13-818,"Coriander leaves, dried",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1276,303,4.8,0.12,37.9,7.3,30.6,10.4,21.8,0.53,Herbs and Spices
904,13-889,Cumin seeds,Literature sources,H,13-820 ,"USDA SR26, 2013",,1914,458,22.3,1.54,41.3,2.3,39,10.5,17.8,0.42,Herbs and Spices
912,13-876,Curry powder,2 retail samples,H,13-822 ,"Vegetables, Herbs and Spices Supplement, 1991. Water soluble vitamins from USDA SR26, 2013",,1230,296,10.8,1.75,23.7,0.6,23.1,33.2,9.5,1.13,Herbs and Spices
802,16-428,"Cod, in batter, fried in sunflower oil, takeaway",Calculated from 16-368 and 16-024,J,16-024 ,"DH, Nutrient analysis of fish and fish products, 2013",,998,239,14.7,1.72,9.7,0.9,8.8,0.5,16.8,0.44,Fish and Fish Products
533,16-172,"Carp, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,471,112,4.7,0.9,0,0,0,0,17.5,0.11,Fish and Fish Products
560,16-007,"Catfish, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,403,96,2.8,0.4,0,0,0,0,17.6,0.24,Fish and Fish Products
742,16-011,"Chital, raw",Literature sources. Imported frozen from Bangladesh,JA,,"Gopalan and Sastri (1980) Nutritive value of Indian foods, and Wu Leung et al. (1972) Food composition table for use in East Asia",,377,89,1.9,0.6,0,0,0,0,18.1,0.09,Fish and Fish Products
789,16-373,"Cod, flesh only, baked","11 samples, 11 products, frozen and chilled",JA,16-013 ,"DH, Nutrient analysis of fish and fish products, 2013",,424,100,0.5,0.12,0,0,0,0,23.9,0.23,Fish and Fish Products
824,16-429,"Coley, flesh only, baked",Calculated from 16-383 using 26.1% weight loss,JA,,"DH, Nutrient analysis of fish and fish products, 2013",,470,111,1.5,0.27,0,0,0,0,24.4,0.23,Fish and Fish Products
866,16-452,"Crab, canned in brine, drained","6 cans, 2 brands",JK,16-234 ,"Fish and Fish Products Supplement, 1993; and industry data, 2013",,327,77,0.5,0.1,0,0,0,0,18.1,1.38,Fish and Fish Products
867,16-441,"Crab, purchased cooked","Frozen and chilled. Average of brown and white crab meat. Analytical data, 2010-2011",JK,16-331 ,"DH, Nutrient analysis of fish and fish products, 2013",,485,115,4.1,0.65,0,0,0,0,19.6,0.84,Fish and Fish Products
873,16-235,"Crayfish, raw",Literature sources,JK,,"Fish and Fish Products Supplement, 1993",,282,67,0.8,0.1,0,0,0,0,14.9,0.38,Fish and Fish Products
524,16-404,"Calamari, coated in batter, baked","5 samples, 2 products, frozen",JM,16-266 16-265 ,"DH, Nutrient analysis of fish and fish products, 2013",,1207,289,17.5,2.07,23.5,0,23.5,1.9,8.5,2.96,Fish and Fish Products
775,16-252,"Cockles, boiled",11 samples from assorted outlets; fresh and frozen,JM,50-644 ,"Reviewed 2013. LGC, Nutritional survey fish and fish products, 1986-1987",,226,53,0.6,0.2,0,0,0,0,12.0,1.23,Fish and Fish Products
1019,16-254,"Cuttlefish, raw",Literature sources,JM,,"Wu Leung et al (1972) Food composition table for use in East Asia, and Exler (1987) Composition of foods: finfish and shellfish products, raw, processed and prepared",,300,71,0.7,0.2,0,0,0,0,16.1,0.93,Fish and Fish Products
571,16-272,"Caviare, bottled in brine, drained",Literature sources. Lumpfish roe,JR,,"Lewis and English (1990) Composition of Foods Australia. Vol. 3, Dairy Products, Eggs and Fish. Department of Community Services and Health, and literature sources",,410,98,5.4,0.8,0,0,0,0,12.4,5.3,Fish and Fish Products
655,18-504,"Chicken breast/steak, coated, baked","8 samples, 7 products, breaded and battered",MCA,19-119 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,982,234,11.6,1.78,14.4,1.2,13.3,0.8,17.7,1.17,Meat and meat products
662,18-501,"Chicken pieces, coated, takeaway","8 samples, 7 products, including chicken nuggets, chicken bites and popcorn chicken",MCA,19-124 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1119,268,14.1,2.32,16,0,16,1.3,18.5,1.34,Meat and meat products
694,18-293,"Chicken, leg quarter, raw, meat and skin",Calculated from 77% dark meat and 23% skin,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,803,193,13.3,3.6,0,0,0,0,18.3,0.2,Meat and meat products
700,18-488,"Chicken, meat, average, raw",Calculated from 44% light meat and 56% dark meat,MCA,18-291 50-431 ,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995; folate from LGC, Individual folates in foodstuffs, 1996",,457,108,2.1,0.6,0,0,0,0,22.3,0.19,Meat and meat products
718,18-297,"Chicken, whole, raw, meat and skin","Calculated from 33% light meat, 42% dark meat and 25% skin",MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,836,201,13.8,3.8,0,0,0,0,19.1,0.18,Meat and meat products
725,18-295,"Chicken, wing quarter, raw, meat and skin","Calculated from 65% light meat, 11% dark meat and 24% skin",MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,804,193,12.4,3.5,0,0,0,0,20.3,0.15,Meat and meat products
730,18-503,"Chicken/turkey pieces, coated, baked","9 samples, 9 products, battered and breaded, including chicken nuggets, chicken dippers and turkey dinosaurs",MCA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1081,259,13.9,2.11,17.9,1.1,16.8,2.3,14.4,0.9,Meat and meat products
665,19-538,Chicken slices,7 samples including smoked and wafer thin chicken breast. 80-100% meat,MI,,"LGC, Nutritional analysis of meat and poultry products, 1994-1995; and industry data, 2013",,479,113,1.5,0.4,1.6,0.2,1.4,0.3,23.2,1.45,Meat and meat products
758,19-516,Chorizo,Manufacturers' data,MI,19-099 ,"Industry data, 2013",,1645,397,32.2,12,2.2,1,1.2,1,24.0,3.5,Meat and meat products
848,19-128,"Corned beef, canned","10 samples, 4 brands",MI,50-507  ,"Reviewed 2013. Meat Products and Dishes Supplement, 1996; and LGC, Survey of dietary oils and fats, 1981-1982. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000. Reviewed in 2013",,859,205,10.9,5.7,1,1,0,0,25.9,2.15,Meat and meat products
942,19-296,"Curry, chicken tikka masala, retail, reheated","11 samples, 11 products, chilled and frozen",MIG,341,"LGC, Nutrient analysis of foods important in elderly people, 1994; and industry data, 2013",,666,160,9.8,3.3,4.7,3.5,1.2,1.4,12.5,0.55,Meat and meat products
555,19-484,"Casserole, sausage, homemade",Recipe,MR,19-351 ,Updated 2013,,702,169,10.9,3.65,4.9,2,2.6,1.6,11.9,1.11,Meat and meat products
761,19-321,"Chow mein, chicken, takeaway",10 samples,MR,,"Reviewed 2013. Aspland and James Ltd, Nutrient analysis of ethnic and takeaway foods, 1997",,621,148,7.2,1.17,11.7,0.3,6,1.5,8.5,1.17,Meat and meat products
851,19-466,"Cornish pasty, retail","11 samples, 10 products",MR,19-316 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1176,282,17.8,8.53,22,2.1,19.9,2.9,7.0,1.18,Meat and meat products
853,19-477,"Coronation chicken, homemade",Recipe,MR,19-339 ,Updated 2013,,1504,363,31.4,3.25,3.4,3.3,0.1,0.2,16.6,0.31,Meat and meat products
777,17-002,Cocoa butter,Analysis and literature sources,OE,,"Miscellaneous Foods Supplement, 1994",,3682,896,99.5,59,0,0,0,0,0.0,0,Fats and Oils
806,17-632,"Coffee, cappuccino, latte",9 samples as consumed,P,,"Direct Laboratories, Nutrient analysis catch up project, 2003",,115,27,0.8,0.52,3,2.3,0.7,0,2.0,0.06,Beverages
819,17-175,Cola,"10 samples, 6 brands",PCA,50-1080 ,"Reviewed 2013. LFRA, Nutritional analysis of soft drinks, 1993",,182,43,0.0,0,10.7,10.7,0,0,0.0,0.01,Beverages
872,17-744,Cranberry fruit juice drink,Manufacturers' data and literature,PE,17-537 ,"USDA 1998 and industry data, 2013",,199,47,0.0,0,11.5,11.5,0,0,0.0,0,Beverages
770,17-224,"Cider, sweet","3.5-5.0% ABV. 3 samples of different brands, including Woodpecker, Magners, Bulmers, Kopparberg, Stella Artois Pear Cidre, Jacques fruit cider and Thatchers rose cider",QC,50-1105 ,"Reviewed 2013. MW3, 1960. Additional values from 50-1105",,177,42,0.0,0,4.1,4.1,0,0,0.0,0.02,Alcoholic beverages
752,17-659,Chocolate spread,"7 samples, 5 brands",SC,17-069 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,2429,583,37.7,8.13,56.7,56.7,0,2,3.3,0.15,"Sugars, preserves and snacks"
747,17-658,Chocolate covered bar with caramel and cereal,"6 samples, 6 products, including Balisto, Lion Bar, Picnic and Crispy Caramel",SEA,17-550 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,2117,506,25.8,16.26,62.4,44.3,10.5,1.9,5.1,0.4,"Sugars, preserves and snacks"
888,17-763,Creme egg,10 samples,SEA,17-544 ,"LGC, Dairy products and eggs, 1989; and industry data, 2013 (Fatty acid fractions available in obsoleted 17-092, not integrated as proportions are different to new manufacturer's data)",,1604,382,15.9,9.7,55.5,55.5,0,0.5,4.0,0.16,"Sugars, preserves and snacks"
846,17-645,Corn snacks,"6 samples, 4 products, including Wotsits, Monster Munch and own label",SN,17-125 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,2180,522,30.4,2.76,55.5,5.2,50.3,1.3,5.9,2.27,"Sugars, preserves and snacks"
654,17-782,"Chevda/chevra/chewra, homemade",Recipe,SNC,17-557 ,Updated 2014,,N,N,31.8,4.71,N,N,28.7,4.2,20.4,0.29,"Sugars, preserves and snacks"
666,17-697,"Chicken soup, cream of, canned, condensed, as served",7 cans of the same brand. Diluted with an equal volume of water,WAC,17-252 ,As Miscellaneous Foods and Fatty Acids supplements 17-252,,176,42,2.9,0.4,2.8,0.7,2.1,0,1.3,0.63,"Soups, sauces and miscellaneous foods"
737,17-719,Chilli sauce,"8 samples; assorted types, including garlic chilli sauce",WC,17-294 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,193,46,0.8,0,7.3,6.9,0.4,2.2,1.3,3.13,"Soups, sauces and miscellaneous foods"
