,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
15,14-331,"Apple juice, clear, ambient and chilled","10 samples, 9 brands, from concentrate",FC,14-271 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,172,40,0.0,0,9.6,9.6,0,0,0.1,0.01,Fruit
5,14-870,"Almonds, flaked and ground",10 samples,GA,14-801 14-855 50-972 ,"Reviewed 2013. LGC, Snacks and nuts, 1989-1991; and Fatty Acid Supplement, 1998 (14-855). Selenium from Analysis of foods for Selenium 1994",,2686,650,55.8,4.43,6.5,4,2.5,9.9,25.4,0.04,Nuts and Seeds
6,14-897,"Almonds, toasted",Literature sources,GA,14-803,"USDA SR28, 2015",,2555,618,52.5,4.09,5.6,4.9,0.7,10.9,25.3,0.01,Nuts and Seeds
8,14-896,"Almonds, whole kernels","Literature sources, Prunus dulcis",GA,,"USDA SR28, 2015",,2466,596,49.9,3.8,5,4.3,0.7,12.5,25.6,0,Nuts and Seeds
4,13-801,"Allspice, ground",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1536,366,8.7,2.5,55.1,55.1,0,21.6,6.1,0.19,Herbs and Spices
13,13-802,Anise seeds,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1607,384,15.9,2.3,35.4,31.5,3.9,14.6,17.6,0.04,Herbs and Spices
45,13-803,Asafoetida,Resin from root of Ferula plant. Literature sources,H,,"Gopalan et al. (1980) Nutritive value of Indian foods, National Institute of Nutrition",,790,187,1.1,0.24,37.7,0.9,36.8,5.1,4.0,0.04,Herbs and Spices
63,16-001,"Ayr, raw",Literature sources. Imported frozen from Bangladesh,JA,,"Gopalan et al (1980) Nutritive value of Indian foods. National Insitute of Nutrition, Indian Council of Medical Research",,318,75,1.3,0.2,0,0,0,0,15.9,0.24,Fish and Fish Products
12,16-448,"Anchovies, canned in oil, drained","10 samples, 4 brands",JC,16-323 ,"Data from Fish and Fish Products Supplement, 1993 (16-168) except fatty acids and phytosterols  from RHM, fatty acids in foods, 1993",,798,191,10.0,1.6,0,0,0,0,25.2,14.68,Fish and Fish Products
14,14-272,"Apple juice concentrate, unsweetened, commerical","10 samples, 68.6 Brix; imported commercial concentrate",PE,,"Fruit and Nuts Supplement, 1992",,1037,244,0.6,0.1,57,57,0,0,0.5,0.03,Beverages
16,17-851,"Apple sauce, homemade",Recipe,WC,17-608 ,Updated 2014,,359,85,0.2,0.05,19.4,19.4,0,1.4,0.3,0.01,"Soups, sauces and miscellaneous foods"
