,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
2214,13-483,"Potato wedges, retail, cooked","10 samples, 9 products, frozen, including McCain and own brands",DAR,,"Direct Laboratories, Nutrient analysis catch up project, 2003",,761,181,5.5,2.49,28,0.8,27,4.3,2.8,0.5,Vegetables
1952,13-564,"Peas, canned in water, re-heated, drained","10 samples, 9 brands, no added salt",DF,13-441 ,"Vegetables, Herbs and Spices Supplement, 1991; and industry data, 2013. LGC data for folate and carotenoids. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,291,69,0.9,0.2,7.3,1.6,5.7,5.3,5.3,0,Vegetables
1957,13-527,"Peas, frozen, raw","12 samples, 8 brands, garden peas and petit pois",DF,,"DH, Nutrient analysis of fruit and vegetables, 2013",,330,78,0.7,0.13,10.1,5.4,4.6,5.3,5.3,0.01,Vegetables
1836,13-516,"Pak choi, steamed","16 samples, autumn and winter, UK grown and imported",DG,,"DH, Nutrient analysis of fruit and vegetables, 2013",,77,18,0.1,0.02,1.9,1.5,0.4,2,1.5,0.1,Vegetables
1862,13-311,"Papaya, unripe, green flesh, raw",Literature sources,DG,,"Gopalan et al. (1980) Nutritive value of Indian foods, National Insitute of Nutrition, Indian Council of Medical Research, and Wu Leung et al. (1972) Food composition table for use in East Asia",,101,24,0.1,0,3.6,3.6,0,2.3,0.9,0.04,Vegetables
1869,13-312,"Parsnip, raw",Ends trimmed and peeled,DG,50-799 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J.Nutr. 83, 2000",,306,73,1.1,0.2,11.6,5.4,5.6,4.7,1.8,0.03,Vegetables
1973,13-524,"Pepper, capsicum, red, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,13-320 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,112,27,0.2,0.05,4.3,4.2,0,2.2,0.8,0,Vegetables
2066,13-323,"Plantain, green flesh, raw",Literature sources.,DG,50-806 ,"As Vegetables, Herbs and Spices Supplement (1991) 13-323",,508,120,0.3,0.1,27.1,5.5,21.5,2.2,1.1,0.01,Vegetables
2277,13-326,"Pumpkin, flesh only, raw","Peeled thickly, seeds removed",DG,50-809 ,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,62,15,0.2,0.1,2,1.7,0.3,1.1,0.8,0,Vegetables
1942,14-365,"Pears, average, raw, flesh only","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, including Conference, Comice, Concorde, Rocha and Green Williams",F,14-192 ,"Nutrient analysis of fresh and processed fruit and vegetables, 2013; and calculated from 14-192",,249,59,0.1,0.01,11.2,11.2,0,2.7,0.3,0,Fruit
1929,14-188,"Peaches, canned in juice, whole contents","10 samples, 7 brands; halves and slices. Drained proportion = 0.68",FA,50-940 ,"Reviewed 2013. LGC, Nutritional composition of fruit products, 1985-1986; and LGC, Fruit and vegetables, 1989-1990",,194,46,0.0,0,9.5,9.5,0,0.8,0.6,0.03,Fruit
1946,14-196,"Pears, dried","3 samples, 3 brands and calculation from 14-192",FA,,"Fruit and Nuts Supplement, 1992",,1001,236,0.5,0.11,52.1,52.1,0,6,1.6,0.04,Fruit
2044,14-376,"Pineapple, flesh only, raw","11 samples, imported, whole and prepacked chunks",FA,14-208,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,224,53,0.1,0,11.1,11.1,0,1.2,0.5,0,Fruit
2076,14-222,"Plums, Victoria, stewed without sugar","700g fruit, 100g water; stones removed",FA,,"LGC, Nutritional composition of fresh fruit, 1985-1986",,177,42,0.1,0,8.2,8.2,0,1.6,0.5,0.01,Fruit
2085,14-226,"Pomegranate, flesh and pips",Analysis and literature sources;,FA,,"Reviewed 2013. Fruit and Nuts Supplement, 1992",,263,62,0.2,0,11.8,11.8,0,2.3,1.3,0.01,Fruit
1873,14-285,Passion fruit juice,Literature sources,FC,,"Gebhardt et al. (1982) Comoposition of foods: fruits and fruit juices, raw, processed and prepared, and Gopalan et al. (1980) Nutritive values of Indian foods",,238,56,0.1,0,10.6,10.6,0,0.2,0.8,0.05,Fruit
2084,14-341,Pomegranate juice drink,with added sugar,FC,14-288 ,"MW1, 1940; and industry data, 2013",,204,48,0.0,0,11.6,11.6,0,0,0.2,0,Fruit
2249,14-289,Prune juice,4 bottled samples; 2 brands,FC,,"LGC, Fruit and vegetables, 1989-1990",,351,82,0.1,0,14.4,14.4,0,1,0.5,0.03,Fruit
1934,14-892,"Peanut butter, smooth","10 samples, 3 brands",GA,14-876 ,"Reviewed 2013. MW4, 1978; and industry data, 2013. Fatty acids from Fatty Acid Supplement, 1998 (14-865)",,2620,632,51.8,12.78,12.2,6.4,5.8,6.6,26.1,0.88,Nuts and seeds
1935,14-882,Peanuts and raisins,"Calculated from recipe proportions, plain peanuts 56% and raisins 44%",GA,14-836 50-1036 ,"Reviewed 2013. Fruit and Nut Supplement, 1992",,1932,463,25.9,4.9,37,33.8,3.2,5.7,17.5,0.07,Nuts and seeds
2047,14-840,"Pistachio nuts, kernel only, roasted and salted",10 samples,GA,,"Reviewed 2013. LGC, Savoury snacks and nuts, 1989-1991",,2599,629,55.4,7.4,7.7,5.4,2.3,7.4,21.1,1.33,Nuts and seeds
1863,13-879,Paprika,Literature sources,H,13-843 ,"USDA SR26, 2013",,1321,319,12.9,2.14,19.1,10.3,8.8,34.9,14.1,0.17,Herbs and Spices
1867,13-844,"Parsley, fresh",Tough stalks removed,H,50-846 ,"Reviewed 2013. IFR, The nutritional values of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al, Br.J. Nutr 83, 2000",,183,44,1.3,0.16,2.7,2.3,0.4,5,2.9,0.08,Herbs and Spices
1971,13-880,"Pepper, black",Literature sources,H,13-846 ,"USDA SR26, 2013",,511,124,3.3,1.39,0.6,0.6,0,25.3,10.4,0.05,Herbs and Spices
2082,16-378,"Pollock, Alaskan, flesh only, raw","9 samples, 8 products, frozen and chilled",JA,16-123 ,"DH, Nutrient analysis of fish and fish products, 2013",,304,72,0.7,0.14,0,0,0,0,16.4,0.17,Fish and fish products
2243,16-387,"Prawns, king, raw","9 samples, 9 products, warm-water prawns (Panaeus vannamei), frozen and chilled",JK,,"DH, Nutrient analysis of fish and fish products, 2013",,326,77,0.7,0.17,0,0,0,0,17.6,0.54,Fish and fish products
2169,18-609,"Pork, spare ribs, raw, lean and fat",10 samples,MAG,18-278,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,813,195,13.4,5.27,0,0,0,0,18.7,0.25,Meat and meat products
2179,17-234,Port,"19-21% ABV, 2 samples",QF,50-1113 ,"Reviewed 2013. MW4, 1978. Additional data from 50-1113",,665,159,0.0,0,11.9,11.9,0,0,0.1,0.01,Alcoholic beverages
1979,17-117,Peppermints,Several samples of 6 different brands,SEC,50-1029 ,"Reviewed 2013. MW3, 1960",,1698,400,0.7,N,97.9,97.9,0,0,0.5,0.02,"Sugars, preserves and snacks"
2092,17-692,"Popcorn, salted, retail",Estimated from label data,SN,17-131 ,"Industry data, 2013",,2014,482,23.5,N,53.9,0.6,53.4,9.3,9.0,1.83,"Sugars, preserves and snacks"
2097,17-132,Pork scratchings,"19 samples, 4 brands",SN,17-477 ,"Reviewed 2013. LGC, Survey of the nutritional composition of savoury snacks and nuts, 1993; fatty acids from Fatty Acid Supplement, 1998",,2522,607,46.0,16.58,0.2,0.2,0,0.3,47.9,3.3,"Sugars, preserves and snacks"
2204,17-693,"Potato crisps, low fat","20 samples of different brands, plain and flavoured, not baked",SN,17-496 ,"LGC, Survey of the nutritional composition of savoury snacks and nuts, 1993; and Fatty Acids Supplement, 1998 with selenium estimated from 'potato based snacks',  'Analysis of foods for Selenium' 1994",,N,N,21.5,1.85,57.8,1.4,56.4,5.9,6.6,1.83,"Sugars, preserves and snacks"
1989,17-623,"Pesto, red","8 samples, 7 products",WC,,"LGC, Nutrient analysis of pasta and pasta sauces, 2003; and industry data, 2013",,1339,324,30.6,4.68,5.7,5.1,0.6,3.3,4.9,1.93,"Soups, sauces and miscellaneous foods"
1994,17-718,"Pickle, sweet","9 samples, 4 brands",WCG,17-352 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,514,121,0.1,0,27.3,24.2,3.1,1.2,0.6,2.83,"Soups, sauces and miscellaneous foods"
1993,17-702,Piccalilli,"9 samples, 4 brands; mild, saucy and sweet varieties",WCN,17-347 ,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",,363,86,0.5,0.1,17.3,14.7,2.5,1,1.0,1.85,"Soups, sauces and miscellaneous foods"
