Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Food_Category,Super_Category,FPS_Weight,FVS_Weight,Standardized_Weight
14-344,"Apples, cooking, baked with sugar, flesh only",Calculated from 672g apple (14-342) and 40g sugar (17-061),FA,14-007 ,Updated 2014,,323,76,0.4,0.07,16.7,16.7,0,1.9,0.1,0,Sugars and confectionery,Processed foods,,,
14-345,"Apples, cooking, baked with sugar, flesh only, weighed with skin",Calculated from 14-344 using edible portion of 0.84,FA,14-008 ,Updated 2014,,269,64,0.3,0.06,14,14,0,1.6,0.1,0,Sugars and confectionery,Processed foods,,,
14-342,"Apples, cooking, baked without sugar, flesh only",Calculated from 14-320,FA,14-010 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,232,55,0.4,0.07,11.3,11.3,0,2,0.1,0,Sugars and confectionery,Processed foods,,,
14-343,"Apples, cooking, baked without sugar, flesh only, weighed with skin",Calculated from 14-342 using edible portion of 0.84,FA,14-011 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,194,46,0.3,0.06,9.5,9.5,0,1.7,0.1,0,Sugars and confectionery,Processed foods,,,
14-362,"Apples, cooking, raw, flesh only, peeled","Bramley apples and unspecified. Analytical data, 1985-86; and 2011-12",F,14-002 ,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",,187,44,0.3,0.06,8.9,8.9,0,1.7,0.3,0.01,Uncategorized,Other,,,
14-363,"Apples, cooking, raw, flesh only, weighed with skin and core",Bramley variety; calculated from 14-362,F,14-003 ,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",,136,32,0.2,0.04,6.5,6.5,0,1.2,0.3,0,Uncategorized,Other,,,
14-332,"Apples, cooking, stewed with sugar, flesh only",Calculated from stewed without sugar,FA,14-004 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,377,89,0.3,0.06,20.3,20.3,0,1.4,0.2,0,Sugars and confectionery,Processed foods,,,
14-320,"Apples, cooking, stewed without sugar, flesh only","22 samples, autumn and winter, UK grown pre-packed and loose, including Bramley and unspecified varieties",FA,,"DH, Nutrient analysis of fruit and vegetables, 2013",,196,46,0.3,0.06,9.6,9.6,0,1.7,0.1,0,Sugars and confectionery,Processed foods,,,
14-016,"Apples, eating, dried","6 samples, 3 brands and calculation from 14-014",FA,,"LGC, Fruit and vegetables, 1989-1990",,1172,277,0.5,0.1,59.3,59.3,0,9.7,2.0,0.04,Uncategorized,Other,,,
14-319,"Apples, eating, raw, flesh and skin","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, including Gala, Braeburn, Golden Delicious, Pink Lady, Cox and Granny Smith",FA,14-012 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,248,59,0.5,0.12,11.5,11.5,0,1.2,0.6,0,Uncategorized,Other,,,
14-346,"Apples, eating, raw, flesh and skin, weighed with core",Calculated from 14-319 using edible portion of 0.87,FA,14-013 ,"DH, Nutrient analysis of fruit and vegetables, 2013. Vitamin K1 calculated from Bolton-Smith et al, Br.J. Nutr 83, 2000",,213,50,0.4,0.1,9.9,9.9,0,1,0.5,0,Uncategorized,Other,,,
14-031,"Apricots, dried",No stones,FA,,"LGC, Nutritional composition of fruit products, 1985-1986",,1027,242,0.7,0.18,42.8,42.8,0,7.7,4.8,0.14,Uncategorized,Other,,,
14-032,"Apricots, dried, stewed with sugar","Calculated from 450g fruit, 770g water, 54g sugar",FA,,"Fruit and Nuts Supplement, 1992",,481,113,0.3,0,21.6,21.6,0,3,1.9,0.05,Sugars and confectionery,Processed foods,,,
14-033,"Apricots, dried, stewed without sugar","Calculated from 450g fruit, 770g water",FA,,"Fruit and Nuts Supplement, 1992",,441,104,0.3,0,17.7,17.7,0,3.2,2.0,0.06,Sugars and confectionery,Processed foods,,,
14-025,"Apricots, raw, flesh and skin",18 samples,FA,50-860 ,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990",,169,40,0.1,0,6.9,6.9,0,1.7,0.9,0.01,Uncategorized,Other,,,
14-026,"Apricots, raw, flesh and skin, weighed with stones",Calculated from 14-025,FA,50-861 ,"LGC, Fruit and vegetables, 1989-1990",,156,37,0.1,0,6.3,6.3,0,1.6,0.8,0.01,Uncategorized,Other,,,
14-392,"Apricots, ready-to-eat, semi-dried","10 samples, 8 products, including soft, ready-to-eat and partially rehydrated",FA,14-036,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,851,201,0.5,0.13,39.2,39.2,0,5.3,2.2,0.02,Prepared meals,Processed foods,,500.0,500.0
14-027,"Apricots, stewed with sugar","1000g fruit, 100g water, 120g sugar; stones removed",FA,,"Fruit and Nuts Supplement, 1992",,345,81,0.1,0,17.6,17.6,0,1.6,0.7,0,Sugars and confectionery,Processed foods,,,
14-028,"Apricots, stewed with sugar, weighed with stones",Calculated from 14-027,FA,,"Fruit and Nuts Supplement, 1992",,324,76,0.1,0,16.6,16.6,0,1.5,0.6,0,Sugars and confectionery,Processed foods,,,
14-029,"Apricots, stewed without sugar","500g fruit, 75g water; stones removed",FA,,"Fruit and Nuts Supplement, 1992",,148,35,0.1,0,5.9,5.9,0,1.5,0.8,0,Sugars and confectionery,Processed foods,,,
14-030,"Apricots, stewed without sugar, weighed with stones",Calculated from 14-029,FA,,"Fruit and Nuts Supplement, 1992",,138,33,0.1,0,5.5,5.5,0,1.4,0.7,0,Sugars and confectionery,Processed foods,,,
13-152,"Arrowhead, boiled in unsalted water",Calculated from raw,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11, and Wu Leung et al. (1972) Food composition table for use in East Asia",,380,90,0.3,0.03,16.2,0.7,15.5,2.8,4.2,0.05,Oils and fats,Other,,,
13-151,"Arrowhead, raw",Literature sources,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11, and Wu Leung et al. (1972) Food composition table for use in East Asia",,447,106,0.3,0.03,19.5,0.9,18.6,2.4,5.0,0.06,Uncategorized,Other,,,
11-001,Arrowroot,2 samples from different shops,AA,,"MW3, 1960. Reviewed 2014",,1471,346,0.1,0.02,85.5,0,85.5,0.9,0.4,0.01,Uncategorized,Other,,,
13-155,"Artichoke, globe, base of leaves and heart, boiled in unsalted water",Base of leaves and heart; boiled 35 minutes,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,111,27,0.2,0.1,1.3,1.3,0,3.9,2.9,0.04,Oils and fats,Other,,,
13-154,"Artichoke, globe, boiled, weighed as served",Calculated from boiled in unsalted water,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,47,11,0.1,0,0.5,0.5,0,1.7,1.3,0.02,Oils and fats,Other,,,
13-153,"Artichoke, globe, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,120,29,0.2,0.1,1.3,1.3,0,5.4,2.8,0.07,Uncategorized,Other,,,
13-156,"Artichoke, Jerusalem, boiled in unsalted water, flesh only",Boiled 20 minutes,DG,,"MW4, 1978",,84,20,0.1,0,1.5,1.5,0,3.5,1.6,0.01,Oils and fats,Other,,,
13-803,Asafoetida,Resin from root of Ferula plant. Literature sources,H,,"Gopalan et al. (1980) Nutritive value of Indian foods, National Institute of Nutrition",,790,187,1.1,0.24,37.7,0.9,36.8,5.1,4.0,0.04,Uncategorized,Other,,,
13-639,"Asparagus, grilled","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems. Tough base of stems removed, grilled for 4-6 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,122,29,0.4,0.06,2,2,0,1.6,3.5,0.01,Uncategorized,Other,125.0,,125.0
13-157,"Asparagus, raw",Tough base of stems removed,DG,50-737 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,120,29,0.6,0.1,2,1.9,0.1,1.7,2.9,0,Uncategorized,Other,125.0,,125.0
13-640,"Asparagus, roasted in rapeseed oil","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems, tough base of stems removed. Roasted in 0.5-1 tbsp oil for 10 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,162,39,1.5,0.12,2,2,0,1.6,3.5,0.01,Nuts and seeds,Plant-based foods,,250.0,250.0
13-638,"Asparagus, steamed","11 samples, fresh, UK and imported, including tips and thicker stems. Tough base of stems removed, steamed for 3-18 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,102,24,0.4,0.05,1.6,1.6,0,1.3,2.9,0.01,Non-alcoholic beverages,Beverages,125.0,,125.0
13-651,"Aubergine, flesh and skin, boiled in unsalted water","11 samples, UK and imported. Cut into chunks and boiled for 10-30 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,77,18,0.5,0.13,1.8,1.6,0.2,1.8,0.8,0,Oils and fats,Other,,,
13-669,"Aubergine, flesh and skin, roasted in rapeseed oil","11 samples, UK and imported, roasted in a small amount of rapeseed oil for 20-30 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,305,74,3.8,0.35,5.1,4.6,0.5,5.1,2.1,0.01,Nuts and seeds,Plant-based foods,,,
13-412,"Aubergine, fried in butter",Calculation from fried in corn oil,DG,,"Calculated using data from Vegetables, Herbs and Spices Supplement (1991) 13-162, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,1267,308,31.9,21.1,2.8,2.6,0.2,2.3,1.2,0.01,Uncategorized,Other,,,
13-162,"Aubergine, fried in corn oil",Sliced; shallow fried 10 minutes,DG,50-740 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,1267,308,31.9,4.1,2.8,2.6,0.2,2.3,1.2,0.01,Oils and fats,Other,,,
13-577,"Aubergine, fried in rapeseed oil",Calculated from fried in corn oil and 17-686,DG,13-413 ,"Updated 2014. Calculated using data from Vegetables, Herbs and Spices Supplement (1991) 13-162, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,1267,308,31.9,2.18,2.8,2.6,0.2,2.3,1.2,0.01,Nuts and seeds,Plant-based foods,,,
13-161,"Aubergine, raw",Ends trimmed,DG,50-739 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,84,20,0.4,0.1,2.2,2,0.2,2,0.9,0.01,Uncategorized,Other,130.0,,130.0
15-001,"Aubergine, stuffed with lentils and vegetables",Recipe from dietary survey records. Whole dish consumed,DR,,As Vegetable Dishes Supplement 1992,,283,68,4.6,0.5,3.6,1.6,1.9,1.9,2.1,0.2,Vegetables,Plant-based foods,,,
15-662,"Aubergine, stuffed with rice","Rice, tomato, onion and raisin stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,15-385 ,Updated 2014,,378,90,2.1,0.22,14.8,5.9,8.9,2.1,1.9,0.02,Uncategorized,Other,,,
15-663,"Aubergine, stuffed with vegetables, cheese topping","Tomato, mushroom and onion stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,15-386 ,Updated 2014,,523,126,9.7,3.48,3.4,3.2,0.2,2.2,5.3,0.27,Vegetables,Plant-based foods,,,
14-039,"Avocado, Fuerte, flesh only",10 samples and literature,FA,,"LGC, Fruit and vegetables, 1989-1990",,792,193,19.3,3.5,0.5,0.5,0,3.4,2.1,0.02,Uncategorized,Other,,,
14-040,"Avocado, Fuerte, flesh only, weighed with skin and stone",Calculated from 14-039,FA,,"LGC, Fruit and vegetables, 1989-1990",,565,137,13.7,2.5,0.4,0.4,0,2.4,1.5,0.02,Uncategorized,Other,,,
14-386,"Avocado, Hass, flesh only","11 samples, imported, Hass variety, ripe and ripen at home",FA,14-041 14-037,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,735,178,17.4,4.15,1.7,0.4,0,3.1,1.8,0.02,Uncategorized,Other,,,
14-387,"Avocado, Hass, flesh only, weighed with skin and stone",Calculated from 14-386,FA,14-042 14-038,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,508,123,12.0,2.86,1.1,0.2,0,2.1,1.3,0.01,Uncategorized,Other,,,
16-001,"Ayr, raw",Literature sources. Imported frozen from Bangladesh,JA,,"Gopalan et al (1980) Nutritive value of Indian foods. National Insitute of Nutrition, Indian Council of Medical Research",,318,75,1.3,0.2,0,0,0,0,15.9,0.24,Uncategorized,Other,,,
14-043,"Babaco, flesh only",Literature sources,FA,,"Cashel et al (1989) Composition of foods, Australia, volume 1, and Wu Leung and Flores (1961) Food composition table for use in Latin America, Institute of Nutrition of Central America and Panama",,91,22,0.1,0,3.1,3.1,0,0.9,1.1,0.01,Uncategorized,Other,,,
16-169,"Bacha, raw",Literature sources. Imported frozen from Bangladesh,JC,,"Gopalan et al (1980) Nutritive value of Indian foods. National Insitute of Nutrition, Indian Council of Medical Research",,515,123,5.6,0.8,0,0,0,0,18.1,0.24,Uncategorized,Other,,,
19-644,"Bacon loin steaks, lean, grilled","7 samples; smoked and unsmoked, loose and prepacked Danish bacon",MAA,19-019 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,667,158,4.3,1.55,1,1,0,0,28.9,2.48,Non-alcoholic beverages,Beverages,,,
19-645,"Bacon rashers, back, dry-cured, grilled","7 samples; smoked and unsmoked, loose and prepacked  British and Irish bacon",MAA,19-006 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,1071,257,15.9,6,0,0,0,0,28.4,4.33,Uncategorized,Other,,,
19-498,"Bacon rashers, back, dry-fried","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-002 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,1225,295,22.0,8.3,0,0,0,0,24.2,3.53,Uncategorized,Other,,,
19-499,"Bacon rashers, back, fat trimmed, grilled","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon, back fat removed",MAA,19-008 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,892,213,12.3,4.6,0,0,0,0,25.7,3.58,Oils and fats,Other,,,
19-646,"Bacon rashers, back, fat trimmed, raw","24 samples, back fat removed. MLC data and calculation from 19-499",MAA,19-007 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; industry data 2013; vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,568,136,6.7,2.5,0,0,0,0,18.8,2.5,Oils and fats,Other,,,
19-500,"Bacon rashers, back, grilled","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-003 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,1193,287,21.6,8.1,0,0,0,0,23.2,3.48,Uncategorized,Other,,,
19-501,"Bacon rashers, back, grilled crispy","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-004 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,1308,313,18.8,7.1,0,0,0,0,36.0,5,Snack foods,Processed foods,,,
19-502,"Bacon rashers, back, microwaved","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-005 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,1273,306,23.3,8.8,0,0,0,0,24.2,4.33,Uncategorized,Other,,,
19-497,"Bacon rashers, back, raw","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-001 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2013",,891,215,16.5,6.2,0,0,0,0,16.5,2.85,Uncategorized,Other,,,
19-009,"Bacon rashers, back, reduced salt, grilled","6 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; Na reviewed 2014",,1172,282,20.6,7.8,0,0,0,0,24.1,2.83,Uncategorized,Other,,,
19-659,"Bacon rashers, back, smoked, grilled",9 samples; loose and prepacked British and Danish bacon,MAA,19-010 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,1215,292,22.1,8.3,0,0,0,0,23.4,3.48,Uncategorized,Other,,,
19-647,"Bacon rashers, back, sweetcure, grilled","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-011 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,1049,252,17.4,6.6,0,0,0,0,23.8,3.48,Sugars and confectionery,Processed foods,,,
19-660,"Bacon rashers, back, 'tendersweet', grilled","10 samples; smoked and unsmoked, loose and prepacked British bacon",MAA,19-012 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,889,213,11.9,4.5,0,0,0,0,26.4,3.48,Sugars and confectionery,Processed foods,,,
19-648,"Bacon rashers, middle, fried in corn oil","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-014 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,1452,350,28.5,9.8,0,0,0,0,23.4,3.48,Oils and fats,Other,,,
19-503,"Bacon rashers, middle, grilled","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-015 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,1277,307,23.1,8.4,0,0,0,0,24.8,3.48,Uncategorized,Other,,,
19-649,"Bacon rashers, middle, raw","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-013 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,998,241,20.0,7.3,0,0,0,0,15.2,2.63,Uncategorized,Other,,,
19-504,"Bacon rashers, streaky, fried in corn oil","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-017 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994",,1389,335,26.6,9.1,0,0,0,0,23.8,4.2,Oils and fats,Other,,,
19-018,"Bacon rashers, streaky, grilled","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,50-359  ,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of bacon, 1993-1994",,1400,337,26.9,9.8,0,0,0,0,23.8,4.2,Uncategorized,Other,,,
19-016,"Bacon rashers, streaky, raw","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,50-351  ,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of bacon, 1993-1994",,1142,276,23.6,8.2,0,0,0,0,15.8,3.15,Uncategorized,Other,,,
19-537,"Bacon, fat only, average, cooked",Fat from five different cuts,MAA,50-339 ,"MW4, 1978; and industry data, 2013. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,2851,692,72.8,28.5,0,0,0,0,9.3,1.85,Oils and fats,Other,,,
19-650,"Bacon, fat only, average, raw",Fat from five different cuts,MAA,50-338 ,"MW4, 1978; and industry data, 2013","Bacon may contain small amounts of vitamins. However, it is extremely difficult to obtain satisfactory analytical values for inclusion in the tables",3074,747,80.9,31.5,0,0,0,0,4.8,1.05,Oils and fats,Other,,,
11-970,"Bagels, plain",2 brands,AP,11-534 ,"RHM, Nutrient content of selected foods, 1995; and industry data, 2013",,1159,274,1.8,0.36,52.9,4.7,46.6,3,10.0,1,Uncategorized,Other,,,
13-578,"Baked beans, canned in barbecue sauce","5 cans (Heinz), and manufacturer's data",DB,13-051 ,"Vegetables, Herbs and Spices Supplement, 1991; estimated from 13-532; and industry data, 2014",,366,87,0.4,0.09,13,4.7,8.4,4.9,5.3,0.65,Legumes,Plant-based foods,,,
13-532,"Baked beans, canned in tomato sauce","16 samples, 9 brands",DB,,"DH, Nutrient analysis of fruit and vegetables, 2013",,380,90,0.5,0.09,13.9,4.6,9.3,4.9,5.1,0.65,Legumes,Plant-based foods,,,
13-535,"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",Estimated from 13-532 and industry data,DB,,"DH, Nutrient analysis of fruit and vegetables, 2013; and industry data, 2013",,356,84,0.5,0.09,12.5,3.2,9.3,4.9,5.1,0.48,Legumes,Plant-based foods,,,
13-579,"Baked beans, canned in tomato sauce, with pork sausages","LGC; 10 cans, 3 brands",DB,13-048 ,"Vegetables, Herbs and Spices Supplement, 1991; and indsutry data, 2014",,469,112,4.5,1.4,10.2,3.9,6.4,3.3,6.0,0.65,Legumes,Plant-based foods,,,
12-500,"Baking fat and margarine (75-90% fat), hard block","10 samples, 4 products, including Stork and own brands",BTM,17-539 17-018 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,2827,688,76.4,26.41,0,0,0,0,0.0,1.5,Oils and fats,Other,,,
17-355,Baking powder,6 samples of the same brand,WY,50-1174 ,"Reviewed 2013. MW4, 1978",,681,160,0.0,0,34.4,0,34.4,0,5.7,29.5,Uncategorized,Other,,,
11-1029,"Banana bread, homemade",Recipe,AN,11-573 ,Based on Mary Berry's complete cookbook. Recalculated 2014,,1414,337,12.4,3.27,50.9,35,15.8,1.4,4.7,0.43,Bakery products,Processed foods,,,
12-556,"Banana split, homemade",Recipe,BP,12-447 ,Updated 2014,,804,193,11.8,6.91,18.9,18.1,0.8,0.6,2.4,0.1,Uncategorized,Other,80.0,,80.0
14-318,"Bananas, flesh only","11 samples, including Fairtrade and organic, pre-packed and loose",FA,14-045 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,380,90,0.1,0.04,20,18,2,1.4,1.1,0,Uncategorized,Other,,,
14-347,"Bananas, raw, flesh only, weighed with skin",Calculated from 14-318 using edible factor of 0.87,FA,14-318 ,"DH, Nutrient analysis of fruit and vegetables, 2013. Vitamin K1 calculated from Bolton-Smith et al, Br.J. Nutr 83, 2000.",,237,56,0.0,0.03,12.6,11.3,1.3,0.9,0.7,0,Uncategorized,Other,,,
11-1030,"Bannocks, made with beremeal, homemade",Recipe,AF,11-627 ,Updated 2014,,1121,264,1.7,0.23,51.9,3.1,48.8,1,9.9,0.28,Prepared meals,Processed foods,,,
11-951,"Bannocks, made with wheat flour, homemade",Recipe,AF,11-628 ,Updated 2014,,1245,294,1.3,0.46,59.7,2.4,57.4,3.1,9.2,0.38,Uncategorized,Other,,,
17-705,Barbecue sauce,Literature sources (1980),WCN,17-289 ,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",,611,144,0.1,0,34.1,28.5,5.6,1.2,1.0,1.58,Uncategorized,Other,,,
17-769,"Barbecue sauce, homemade",Recipe,WC,17-609  ,Updated 2014,,1181,284,21.0,12.45,20.3,20.2,0.1,1.7,2.7,0.98,Uncategorized,Other,,,
14-804,"Barcelona nuts, Kernel only",Kernel only,GA,,"MW4, 1978. Values reviewed for Fruit and Nuts Supplement, 1992",,2726,661,64.0,4.59,4.9,3.2,1.6,7,12.9,0.01,Nuts and seeds,Plant-based foods,,,
