,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Weight,PurEqualCon,Portion Consumed,Source
65,11-820,cream crackers,AM,Cereals and cereal products,wrapper or box,50g,Y,bar,FPS
66,11-839,"cakes, fancy iced, individual, retail",AN,Cereals and cereal products,,30g,"Y, P",per bag,FPS
67,11-1020,"crumble, fruit, retail",AS,Cereals and cereal products,,200g,Y,individual carton,FPS
68,11-850,"doughnuts, ring, iced",AP,Cereals and cereal products,,30g,"Y, P",per bag,FPS
69,11-849,"doughnuts, with jam",AP,Cereals and cereal products,,360g,"Y, P","6 in pack, 60g",Confirmed on Ocado Website
70,,"dumplings,",AT,Cereals and cereal products,,24g,Y,per bag,FPS
71,,"biscuit, gingerbread",AN,Cereals and cereal products,,61g,Y,,FPS
72,,"hot cross buns, ",AP,Cereals and cereal products,packet,60g,Y,small,FPS
73,11-739,jaffa cakes,AM,Cereals and cereal products,wrapper or box,56g,Y,per bag,FPS
74,11-846,"jam tarts, retail",AS,Cereals and cereal products,,165g,Y,,FPS
75,,"macaroni cheese, retail",AD,Cereals and cereal products,,116g,Y,average,FPS
76,11-780,"muesli, swiss style, unfortified",AI,Cereals and cereal products,cereal box,168g,Y,,FPS
77,11-737,"muffins, american, chocolate, retail",AN,Cereals and cereal products,,11g,Y,"1 sachet, average",FPS
78,11-848,"mince pies, retail",AS,Cereals and cereal products,,213g,Y,small,FPS
79,11-719,"noodles, egg, dried, raw",AD,Cereals and cereal products,,40g,Y,,FPS
80,11-823,"oatcakes, plain, retail",AM,Cereals and cereal products,wrapper or box,266g,Y,,Ocado Website
81,11-936,"pizza, cheese and tomato, retail",A,Cereals and cereal products,,350-500g,Y,large,FPS
82,11-788,"porridge oats, unfortified",A,Cereals and cereal products,,,,,
83,11-726,"pasta, egg, fresh, raw",AD,Cereals and cereal products,,40g,Y,,FPS
84,11-718,"pasta, wholewheat, spaghetti, dried, raw",AD,Cereals and cereal products,,75g,Y,1 raw small eating (6 to lb) ,FPS
85,11-735,"pasta, spaghetti, canned, in tomato sauce",AD,Cereals and cereal products,tin,250ml,Y,slim can,FPS
86,,"papadums, retail",AF,Cereals and cereal products,,165g,Y,,FPS
87,11-853,"pastry, shortcrust, retail, cooked",AO,Cereals and cereal products,,320g,Y,purchased frozen ready meal for one,FPS
88,11-844,"pastries, chocolate eclairs, cream filled, retail",AP,Cereals and cereal products,,11g,Y,"1 sachet, average",FPS
89,,pancakes,AS,Cereals and cereal products,,260g,Y,loaf,Ocado Website
90,11-544,"scotch pancakes, retail",AS,Cereals and cereal products,,165g,Y,,FPS
91,11-921,"pie, apple, pastry, double crust, retail",AS,Cereals and cereal products,,600g,Y,6 servings,Ocado & Tesco Website
92,11-847,"pie, fruit, individual, retail",AS,Cereals and cereal products,,200g,Y,individual carton,FPS
93,,"pudding, sponge, retail",AS,Cereals and cereal products,,210g,Y,small can,FPS
94,11-1021,"pudding, sponge, canned",AS,Cereals and cereal products,,250ml,Y,slim can,FPS
95,,prawn crackers,AT,Cereals and cereal products,packet,56g,Y,per bag,FPS
96,11-866,"rice, brown, basmati, raw",AC,Cereals and cereal products,packet,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
97,11-870,"rice, brown, easy cook, raw",AC,Cereals and cereal products,packet,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
98,11-874,"rice, thai fragrant, raw",AC,Cereals and cereal products,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
99,11-863,"rice, white, long grain, easy cook, raw",AC,Cereals and cereal products,packet,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
100,11-940,rusks,AK,Cereals and cereal products,,,,,
101,,"risotto, plain",AT,Cereals and cereal products,,266g,Y,,Ocado Website
102,11-903,"semolina, raw",AA,Cereals and cereal products,,75g,Y,1 raw small eating (6 to lb) ,FPS
103,,"sandwich, white bread,",AB,Cereals and cereal products,,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
104,,"sandwich, brown bread",AB,Cereals and cereal products,,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
105,11-802,shortbread,AM,Cereals and cereal products,wrapper or box,175g,Y,,Ocado Website
106,11-544,"scotch pancakes, retail",AP,Cereals and cereal products,,165g,Y,,FPS
107,11-919,"strudel, fruit filled, retail, frozen",AS,Cereals and cereal products,,200g,Y,individual carton,FPS
108,17-371,"stuffing mix, dried",AT,Cereals and cereal products,,100g,Y,per bag,FPS
109,11-800,"wafers, plain ice cream wafers, not filled",AM,Cereals and cereal products,,266g,Y,,Ocado Website
110,,yorkshire pudding,AT,Cereals and cereal products,,210g,Y,small can,FPS
111,12-937,"eggs, chicken, whole, raw",CA,Eggs,"egg box, 6, 10, 12, 30",85g,Y,packet,FPS
112,12-949,"quiche, vegetable, retail",CD,Eggs,"small individual, large sharing",340g,Y,,FPS
113,17-487,"dripping, beef",OF,Fats and oils,jar,213g,Y,small,FPS
114,17-010,lard,OF,Fats and oils,block,38g,Y,tube,FPS
115,17-031,"oil, coconut",OC,Fats and oils,jar,53g,Y,,FPS
116,17-039,"oil, palm",OC,Fats and oils,bottle,200g,Y,1 small can,FPS
117,17-044,"oil, soya",OC,Fats and oils,bottle,200g,Y,1 small can,FPS
118,17-045,"oil, sunflower",OC,Fats and oils,bottle,200g,Y,1 small can,FPS
119,17-686,"oil, vegetable, average",OC,Fats and oils,bottle,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
120,16-001,"ayr, raw",JA,Fish and fish products,,75g,Y,1 raw small eating (6 to lb) ,FPS
121,,"anchovies, canned in oil,",JC,Fish and fish products,tin,250ml,Y,slim can,FPS
122,16-385,"bass, sea, flesh only, raw",JA,Fish and fish products,fillet,75g,Y,1 raw small eating (6 to lb) ,FPS
123,16-003,"bele, raw",JA,Fish and fish products,fillet,75g,Y,1 raw small eating (6 to lb) ,FPS
124,16-004,"boal, raw",JA,Fish and fish products,fillet,75g,Y,1 raw small eating (6 to lb) ,FPS
125,16-005,bombay duck,JA,Fish and fish products,,125g,Y,,FPS
126,16-006,"bream, sea, raw",JA,Fish and fish products,fillet,75g,Y,1 raw small eating (6 to lb) ,FPS
127,16-169,"bacha, raw",JC,Fish and fish products,fillet,75g,Y,1 raw small eating (6 to lb) ,FPS
128,16-372,"cod, flesh only, raw",JA,Fish and fish products,fillet,170g,Y,"in sauce, purchased, frozen",FPS
129,16-172,"carp, raw",JA,Fish and fish products,fillet,75g,Y,1 raw small eating (6 to lb) ,FPS
130,16-007,"catfish, raw",JA,Fish and fish products,fillet,75g,Y,1 raw small eating (6 to lb) ,FPS
131,16-011,"chital, raw",JA,Fish and fish products,fillet,75g,Y,1 raw small eating (6 to lb) ,FPS
132,16-383,"coley, flesh only, raw",JA,Fish and fish products,fillet,75g,Y,1 raw small eating (6 to lb) ,FPS
133,,"crab, canned in brine",JK,Fish and fish products,tin,250ml,Y,slim can,FPS
134,,crab,JK,Fish and fish products,,85g,Y,1 small can,FPS
135,,"crab, white meat",JK,Fish and fish products,,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
136,16-235,"crayfish, raw",JK,Fish and fish products,,75g,Y,1 raw small eating (6 to lb) ,FPS
137,,calamari,JM,Fish and fish products,,30g,Y,bar,FPS
138,,cockles,JM,Fish and fish products,,142g,Y,small jar,FPS
139,16-254,"cuttlefish, raw",JM,Fish and fish products,,75g,Y,1 raw small eating (6 to lb) ,FPS
140,,caviare,JR,Fish and fish products,"tin, jar",,,,
141,16-173,"eel, yellow, raw",JC,Fish and fish products,,75g,Y,1 raw small eating (6 to lb) ,FPS
142,16-375,"haddock, flesh only, raw",JA,Fish and fish products,,75g,Y,1 raw small eating (6 to lb) ,FPS
143,16-070,"hake, flesh only, raw",JA,Fish and fish products,,75g,Y,1 raw small eating (6 to lb) ,FPS
144,16-081,"kalabasu, raw",JA,Fish and fish products,,75g,Y,1 raw small eating (6 to lb) ,FPS
145,16-186,"katla, raw",JA,Fish and fish products,,75g,Y,1 raw small eating (6 to lb) ,FPS
146,,"kippers, flesh only",JC,Fish and fish products,,70g,Y,,FPS
147,16-393,"mackerel, flesh only, raw",JC,Fish and fish products,,200g,Y,1 small can,FPS
148,16-497,"mussels, raw",JM,Fish and fish products,,75g,Y,1 raw small eating (6 to lb) ,FPS
149,16-259,"octopus, raw",JM,Fish and fish products,,75g,Y,1 raw small eating (6 to lb) ,FPS
150,16-260,"oysters, raw",JM,Fish and fish products,,105g,Y,1 can smoked oysters,FPS
151,16-378,"pollock, alaskan, flesh only, raw",JA,Fish and fish products,,75g,Y,1 raw small eating (6 to lb) ,FPS
152,16-387,"prawns, king, raw",JK,Fish and fish products,,100g,Y,1 small jar prawns,FPS
153,14-363,"apples, cooking, raw, flesh only, weighed with skin and core",F,Fruit,,360g,"Y, P","6 in pack, 60g",Confirmed on Ocado Website
154,14-319,"apples, eating, raw, flesh and skin",F,Fruit,,50g,Y,bar,FPS
155,14-001,amla,FA,Fruit,,80g,"Y, P","individual, 2 in a pack",Tesco
156,14-025,"apricots, raw, flesh and skin",FA,Fruit,punnet,50g,Y,bar,FPS
157,14-392,"apricots, ready-to-eat, semi-dried",FA,Fruit,packet,130g,Y,,FPS
158,14-040,"avocado, fuerte, flesh only, weighed with skin and stone",FA,Fruit,"loose, individual",360g,"Y, P","6 in pack, 60g",Confirmed on Ocado Website
159,14-387,"avocado, hass, flesh only, weighed with skin and stone",FA,Fruit,"loose, individual",360g,"Y, P","6 in pack, 60g",Confirmed on Ocado Website
160,14-331,"apple juice, clear, ambient and chilled",FC,Fruit,"carton, tetrapak, bottle",130g,Y,,FPS
161,14-043,"babaco, flesh only",FA,Fruit,"loose, individual",70g,Y,,FPS
162,14-318,"bananas, flesh and skin",FA,Fruit,"loose, individual/bunch",50g,Y,bar,FPS
163,14-388,"blackberries, raw",FA,Fruit,punnet,75g,Y,1 raw small eating (6 to lb) ,FPS
164,14-053,"blackcurrants, raw",FA,Fruit,punnet,75g,Y,1 raw small eating (6 to lb) ,FPS
165,14-325,blueberries,FA,Fruit,punnet,300g,Y,1 packet made up,FPS
166,14-382,"cherries, flesh and skin, raw",FA,Fruit,punnet,50g,Y,bar,FPS
167,14-326,"citrus fruit, soft/easy peelers, flesh with skin",FA,Fruit,net,200g,Y,individual carton,FPS
168,14-073,cranberries,FA,Fruit,punnet,85g,Y,1 small can,FPS
169,14-074,currants,FA,Fruit,packet,100g,Y,1 small jar prawns,FPS
170,14-077,"damsons, flesh and skin, raw",FA,Fruit,punnet,50g,Y,bar,FPS
171,14-083,"dates, raw, flesh and skin",FA,Fruit,packet,50g,Y,bar,FPS
172,14-087,dried mixed fruit,FA,Fruit,packet,200g,Y,individual carton,FPS
173,14-089,"elderberries, whole fruit",FA,Fruit,punnet,200g,Y,individual carton,FPS
174,14-100,"gooseberries, cooking, raw",FA,Fruit,punnet,75g,Y,1 raw small eating (6 to lb) ,FPS
175,14-384,"grapefruit, flesh only, raw",FA,Fruit,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
176,14-322,"grapes, green",FA,Fruit,punnet,500g,"Y, P",pack,FPS
177,14-118,"guava, flesh only, raw",FA,Fruit,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
178,14-371,"kiwi fruit, flesh only, raw",FA,Fruit,"loose, individual, punnet",200g,Y,individual carton,FPS
179,14-373,"kiwi fruit, flesh only, raw, weighed with skin",FA,Fruit,,200g,Y,individual carton,FPS
180,14-125,"kumquats, whole fruit, raw",FA,Fruit,punnet,200g,Y,individual carton,FPS
181,14-128,"lemons, whole, without pips",FA,Fruit,"loose, individual, net",330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
182,14-131,"limes, flesh only",FA,Fruit,"loose, individual, net",70g,Y,,FPS
183,14-132,"limes, flesh and skin",FA,Fruit,,50g,Y,bar,FPS
184,14-133,"loganberries, raw",FA,Fruit,punnet,75g,Y,1 raw small eating (6 to lb) ,FPS
185,14-277,"lemon juice, fresh",FC,Fruit,,130g,Y,,FPS
186,14-378,"mangoes, ripe, flesh only, raw",FA,Fruit,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
187,14-379,"mangoes, raw, weighed with skin and stone",FA,Fruit,"loose, individual",360g,"Y, P","6 in pack, 60g",Confirmed on Ocado Website
188,14-339,"melon, canteloupe-type, flesh only",FA,Fruit,"loose, individual",70g,Y,,FPS
189,14-353,"melon, canteloupe-type, flesh and skin",FA,Fruit,"loose, individual",50g,Y,bar,FPS
190,14-356,"melon, flesh and skin",FA,Fruit,"loose, individual",50g,Y,bar,FPS
191,14-168,"mulberries, whole fruit, raw",FA,Fruit,punnet,200g,Y,individual carton,FPS
192,14-380,"nectarines, flesh and skin, raw",FA,Fruit,punnet,50g,Y,bar,FPS
193,,"olives, ",FA,Fruit,"tin, jar",125g,Y,,FPS
194,14-327,"oranges, flesh only",FA,Fruit,"loose, individual, net",70g,Y,,FPS
195,14-360,"oranges, flesh with peel and pips",FA,Fruit,"loose, individual, net",360g,"Y, P","6 in pack, 60g",Confirmed on Ocado Website
196,14-369,"orange juice, freshly squeezed",FC,Fruit,"carton, tetrapak, bottle",130g,Y,,FPS
197,14-361,"pears, average, flesh and skin, raw, weighed with core and stalk",F,Fruit,"loose, individual, bag",330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
198,14-188,"peaches, canned in juice, whole contents",FA,Fruit,tin  ,130g,Y,,FPS
199,14-321,"pears, raw, flesh and skin",FA,Fruit,packet,50g,Y,bar,FPS
200,14-376,"pineapple, flesh only, raw",FA,Fruit,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
201,14-377,"pineapple, flesh with skin and top",FA,Fruit,"loose, individual",360g,"Y, P","6 in pack, 60g",Confirmed on Ocado Website
202,14-211,"pineapple, canned in juice, whole contents",FA,Fruit,"loose, individual",130g,Y,,FPS
203,14-396,"pineapple, dried",FA,Fruit,"loose, individual",200g,Y,I small bottle,FPS
204,14-220,"plums, victoria, flesh and skin, raw",FA,Fruit,,50g,Y,bar,FPS
205,14-227,"pomegranate, flesh and pips, weighed with skin",FA,Fruit,"loose, individual",360g,"Y, P","6 in pack, 60g",Confirmed on Ocado Website
206,14-285,passion fruit juice,FC,Fruit,"carton, tetrapak, bottle",130g,Y,,FPS
207,14-179,"passion fruit, flesh and pips, weighed with skin",FA,Fruit,,200g,Y,individual carton,FPS
208,14-341,pomegranate juice drink,FC,Fruit,"carton, tetrapak, bottle",130g,Y,,FPS
209,14-227,"pomegranate, flesh and pips, weighed with skin",FA,Fruit,,360g,"Y, P","6 in pack, 60g",Confirmed on Ocado Website
210,14-289,prune juice,FC,Fruit,"carton, tetrapak, bottle",130g,Y,,FPS
211,14-237,"prunes, canned in juice, whole contents",FA,Fruit,tin,130g,Y,,FPS
212,14-231,"prunes, flesh and skin",FA,Fruit,,50g,Y,bar,FPS
213,14-391,"prunes, ready-to-eat, semi-dried",FA,Fruit,,130g,Y,,FPS
214,14-393,"raisins, dried",FA,Fruit,packet,44g,Y,packet,FPS
215,14-375,"raspberries, raw",FA,Fruit,punnet,75g,Y,1 raw small eating (6 to lb) ,FPS
216,14-249,"redcurrants, raw",FA,Fruit,punnet,75g,Y,1 raw small eating (6 to lb) ,FPS
217,14-252,"rhubarb, stems only, raw",FA,Fruit,bunch,75g,Y,1 raw small eating (6 to lb) ,FPS
218,14-059,star fruit,FA,Fruit,"loose, individual",200g,Y,individual carton,FPS
219,14-324,"strawberries, raw",FA,Fruit,punnet,75g,Y,1 raw small eating (6 to lb) ,FPS
220,14-268,"whitecurrants, raw",FA,Fruit,punnet,75g,Y,1 raw small eating (6 to lb) ,FPS
221,13-801,"allspice, ground",H,Herbs and spices,spice jar,300g,Y,1 packet made up,FPS
222,13-802,anise seeds,H,Herbs and spices,spice jar,37g,Y,packet,FPS
223,13-803,asafoetida,H,Herbs and spices,,,,,
224,13-805,"basil, dried, ground",H,Herbs and spices,spice jar,300g,Y,1 packet made up,FPS
225,13-804,"basil, fresh",H,Herbs and spices,bunch,115g,Y,,FPS
226,13-808,caraway seeds,H,Herbs and spices,spice jar,85g,Y,1 small can,FPS
227,13-809,"cardamom, ground",H,Herbs and spices,spice jar,30g,Y,bar,FPS
228,13-810,celery seeds,H,Herbs and spices,spice jar,37g,Y,packet,FPS
229,13-811,"chervil, dried",H,Herbs and spices,spice jar,300g,Y,1 packet made up,FPS
230,13-873,chilli powder,H,Herbs and spices,spice jar,290g,Y,meal for one,FPS
231,13-813,chinese 5 spice,H,Herbs and spices,spice jar,116g,Y,average,FPS
232,13-887,"chives, fresh",H,Herbs and spices,bunch,115g,Y,,FPS
233,13-874,"cinnamon, ground",H,Herbs and spices,spice jar,,,,
234,13-816,"cloves, dried",H,Herbs and spices,spice jar,300g,Y,1 packet made up,FPS
235,13-818,"coriander leaves, dried",H,Herbs and spices,spice jar,170g,Y,1 average vending machine cup,FPS
236,13-889,cumin seeds,H,Herbs and spices,spice jar,37g,Y,packet,FPS
237,13-876,curry powder,H,Herbs and spices,spice jar,125g,Y,1 can ,FPS
238,13-824,"dill, fresh",H,Herbs and spices,bunch,115g,Y,,FPS
239,13-829,garam masala,H,Herbs and spices,spice jar,12g,Y,1 sachet,FPS
240,13-830,garlic powder,H,Herbs and spices,spice jar,20g,Y,1 slice,FPS
241,13-890,"ginger, fresh",H,Herbs and spices,"loose, individual",115g,Y,,FPS
242,13-832,"ginger, ground",H,Herbs and spices,spice jar,200g,Y,I small bottle,FPS
243,13-835,"marjoram, dried",H,Herbs and spices,spice jar,300g,Y,1 packet made up,FPS
244,13-836,"mint, fresh",H,Herbs and spices,bunch,47g,Y,tube,FPS
245,13-886,mixed curry spices,H,Herbs and spices,spice jar,125g,Y,1 can ,FPS
246,13-884,"mixed herbs, dried",H,Herbs and spices,spice jar,40g,Y,per bag,FPS
247,13-839,mustard seeds,H,Herbs and spices,spice jar,125g,Y,1 can ,FPS
248,13-877,"nutmeg, ground",H,Herbs and spices,spice jar,170g,Y,1 average vending machine cup,FPS
249,13-878,"oregano, dried, ground",H,Herbs and spices,spice jar,300g,Y,1 packet made up,FPS
250,13-879,paprika,H,Herbs and spices,spice jar,,,,
251,13-844,"parsley, fresh",H,Herbs and spices,bunch,115g,Y,,FPS
252,13-880,"pepper, black",H,Herbs and spices,,630g,Y,,FPS
253,13-892,"rosemary, fresh",H,Herbs and spices,bunch,115g,Y,,FPS
254,13-852,saffron,H,Herbs and spices,spice jar,,,,
255,13-854,"sage, dried, ground",H,Herbs and spices,spice jar,300g,Y,1 packet made up,FPS
256,19-646,"bacon rashers, back, fat trimmed, raw",MAA,Meat and meat products,,32g,Y,1 sachet,FPS
257,18-006,"beef, braising steak, raw, lean",MAC,Meat and meat products,,170g,Y,1 average vending machine cup,FPS
258,18-003,"beef, fat, average, raw",MAC,Meat and meat products,,32g,Y,1 sachet,FPS
259,18-016,"beef, fillet steak, raw, lean",MAC,Meat and meat products,,75g,Y,1 raw small eating (6 to lb) ,FPS
260,18-024,"beef, flank, raw, lean",MAC,Meat and meat products,,75g,Y,1 raw small eating (6 to lb) ,FPS
261,18-468,"beef, lean, average, raw",MAC,Meat and meat products,,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
262,18-469,"beef, mince, raw",MAC,Meat and meat products,,75g,Y,1 raw small eating (6 to lb) ,FPS
263,18-054,"beef, silverside, raw, lean",MAC,Meat and meat products,,75g,Y,1 raw small eating (6 to lb) ,FPS
264,18-064,"beef, sirloin steak, raw, lean",MAC,Meat and meat products,,170g,Y,1 average vending machine cup,FPS
265,18-084,"beef, topside, raw, lean",MAC,Meat and meat products,,75g,Y,1 raw small eating (6 to lb) ,FPS
266,18-504,"chicken breast/steak, coated, baked",MCA,Meat and meat products,,240g,Y,,Tesco Website
267,18-501,"chicken pieces, coated, takeaway",MCA,Meat and meat products,,70g,Y,,FPS
268,18-293,"chicken, leg quarter, raw, meat and skin",MCA,Meat and meat products,,160g,Y,average,FPS
269,18-488,"chicken, meat, average, raw",MCA,Meat and meat products,,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
270,18-297,"chicken, whole, raw, meat and skin",MCA,Meat and meat products,,160g,Y,average,FPS
271,18-295,"chicken, wing quarter, raw, meat and skin",MCA,Meat and meat products,,160g,Y,average,FPS
