Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Edible proportion,Specific gravity,Total solids,Nitrogen conversion factor ,Glycerol conversion factor
14-342,"Apples, cooking, baked without sugar, flesh only",Calculated from 14-320,FA,14-010 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,1.00,,,6.25,0.8
14-343,"Apples, cooking, baked without sugar, flesh only, weighed with skin",Calculated from 14-342 using edible portion of 0.84,FA,14-011 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,0.84,,,6.25,0.8
14-362,"Apples, cooking, raw, flesh only, peeled","Bramley apples and unspecified. Analytical data, 1985-86; and 2011-12",F,14-002 ,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",,1.00,,,6.25,
14-363,"Apples, cooking, raw, flesh only, weighed with skin and core",Bramley variety; calculated from 14-362,F,14-003 ,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",,0.73,,,6.25,
14-332,"Apples, cooking, stewed with sugar, flesh only",Calculated from stewed without sugar,FA,14-004 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,1.00,,,6.25,
14-320,"Apples, cooking, stewed without sugar, flesh only","22 samples, autumn and winter, UK grown pre-packed and loose, including Bramley and unspecified varieties",FA,,"DH, Nutrient analysis of fruit and vegetables, 2013",,1.00,,,6.25,
14-016,"Apples, eating, dried","6 samples, 3 brands and calculation from 14-014",FA,,"LGC, Fruit and vegetables, 1989-1990",,1.00,,,,
14-319,"Apples, eating, raw, flesh and skin","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, including Gala, Braeburn, Golden Delicious, Pink Lady, Cox and Granny Smith",FA,14-012 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,1,,,6.25,
14-346,"Apples, eating, raw, flesh and skin, weighed with core",Calculated from 14-319 using edible portion of 0.87,FA,14-013 ,"DH, Nutrient analysis of fruit and vegetables, 2013. Vitamin K1 calculated from Bolton-Smith et al, Br.J. Nutr 83, 2000",,0.87,,,6.25,0.8
14-031,"Apricots, dried",No stones,FA,,"LGC, Nutritional composition of fruit products, 1985-1986",,1.00,,,,
14-032,"Apricots, dried, stewed with sugar","Calculated from 450g fruit, 770g water, 54g sugar",FA,,"Fruit and Nuts Supplement, 1992",,1.00,,,,
14-033,"Apricots, dried, stewed without sugar","Calculated from 450g fruit, 770g water",FA,,"Fruit and Nuts Supplement, 1992",,1.00,,,,
14-025,"Apricots, raw, flesh and skin",18 samples,FA,50-860 ,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990",,1.00,,,6.25,
14-026,"Apricots, raw, flesh and skin, weighed with stones",Calculated from 14-025,FA,50-861 ,"LGC, Fruit and vegetables, 1989-1990",,0.92,,,,
14-392,"Apricots, ready-to-eat, semi-dried","10 samples, 8 products, including soft, ready-to-eat and partially rehydrated",FA,14-036,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
14-027,"Apricots, stewed with sugar","1000g fruit, 100g water, 120g sugar; stones removed",FA,,"Fruit and Nuts Supplement, 1992",,1.00,,,,
14-028,"Apricots, stewed with sugar, weighed with stones",Calculated from 14-027,FA,,"Fruit and Nuts Supplement, 1992",,0.93,,,,
14-029,"Apricots, stewed without sugar","500g fruit, 75g water; stones removed",FA,,"Fruit and Nuts Supplement, 1992",,1.00,,,,
14-030,"Apricots, stewed without sugar, weighed with stones",Calculated from 14-029,FA,,"Fruit and Nuts Supplement, 1992",,0.93,,,,
13-152,"Arrowhead, boiled in unsalted water",Calculated from raw,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11, and Wu Leung et al. (1972) Food composition table for use in East Asia",,1.00,,,,
13-151,"Arrowhead, raw",Literature sources,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11, and Wu Leung et al. (1972) Food composition table for use in East Asia",,0.81,,,,
11-001,Arrowroot,2 samples from different shops,AA,,"MW3, 1960. Reviewed 2014",,1.00,,,5.7,
13-155,"Artichoke, globe, base of leaves and heart, boiled in unsalted water",Base of leaves and heart; boiled 35 minutes,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,1.00,,,,
13-154,"Artichoke, globe, boiled, weighed as served",Calculated from boiled in unsalted water,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,0.43,,,,
13-153,"Artichoke, globe, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,0.43,,,,
13-156,"Artichoke, Jerusalem, boiled in unsalted water, flesh only",Boiled 20 minutes,DG,,"MW4, 1978",,1.00,,,,
13-803,Asafoetida,Resin from root of Ferula plant. Literature sources,H,,"Gopalan et al. (1980) Nutritive value of Indian foods, National Institute of Nutrition",,1.00,,,,
13-639,"Asparagus, grilled","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems. Tough base of stems removed, grilled for 4-6 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
13-157,"Asparagus, raw",Tough base of stems removed,DG,50-737 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,0.75,,,6.25,
13-640,"Asparagus, roasted in rapeseed oil","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems, tough base of stems removed. Roasted in 0.5-1 tbsp oil for 10 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.956
13-638,"Asparagus, steamed","11 samples, fresh, UK and imported, including tips and thicker stems. Tough base of stems removed, steamed for 3-18 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
13-651,"Aubergine, flesh and skin, boiled in unsalted water","11 samples, UK and imported. Cut into chunks and boiled for 10-30 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
13-669,"Aubergine, flesh and skin, roasted in rapeseed oil","11 samples, UK and imported, roasted in a small amount of rapeseed oil for 20-30 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.956
13-412,"Aubergine, fried in butter",Calculation from fried in corn oil,DG,,"Calculated using data from Vegetables, Herbs and Spices Supplement (1991) 13-162, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,1.00,,,,
13-162,"Aubergine, fried in corn oil",Sliced; shallow fried 10 minutes,DG,50-740 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,1.00,,,6.25,
13-577,"Aubergine, fried in rapeseed oil",Calculated from fried in corn oil and 17-686,DG,13-413 ,"Updated 2014. Calculated using data from Vegetables, Herbs and Spices Supplement (1991) 13-162, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,1.00,,,6.25,0.956
13-161,"Aubergine, raw",Ends trimmed,DG,50-739 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,0.96,,,6.25,
15-001,"Aubergine, stuffed with lentils and vegetables",Recipe from dietary survey records. Whole dish consumed,DR,,As Vegetable Dishes Supplement 1992,,1.00,,,,
15-662,"Aubergine, stuffed with rice","Rice, tomato, onion and raisin stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,15-385 ,Updated 2014,,1.00,,,,
15-663,"Aubergine, stuffed with vegetables, cheese topping","Tomato, mushroom and onion stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,15-386 ,Updated 2014,,1.00,,,,
14-039,"Avocado, Fuerte, flesh only",10 samples and literature,FA,,"LGC, Fruit and vegetables, 1989-1990",,1.00,,,,
14-040,"Avocado, Fuerte, flesh only, weighed with skin and stone",Calculated from 14-039,FA,,"LGC, Fruit and vegetables, 1989-1990",,0.71,,,,
14-386,"Avocado, Hass, flesh only","11 samples, imported, Hass variety, ripe and ripen at home",FA,14-041 14-037,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.956
14-387,"Avocado, Hass, flesh only, weighed with skin and stone",Calculated from 14-386,FA,14-042 14-038,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,0.69,,,6.25,0.956
16-001,"Ayr, raw",Literature sources. Imported frozen from Bangladesh,JA,,"Gopalan et al (1980) Nutritive value of Indian foods. National Insitute of Nutrition, Indian Council of Medical Research",,N,,,,
14-043,"Babaco, flesh only",Literature sources,FA,,"Cashel et al (1989) Composition of foods, Australia, volume 1, and Wu Leung and Flores (1961) Food composition table for use in Latin America, Institute of Nutrition of Central America and Panama",,0.98,,,,
16-169,"Bacha, raw",Literature sources. Imported frozen from Bangladesh,JC,,"Gopalan et al (1980) Nutritive value of Indian foods. National Insitute of Nutrition, Indian Council of Medical Research",,N,,,,
19-644,"Bacon loin steaks, lean, grilled","7 samples; smoked and unsmoked, loose and prepacked Danish bacon",MAA,19-019 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,1.00,,,,0.91
19-645,"Bacon rashers, back, dry-cured, grilled","7 samples; smoked and unsmoked, loose and prepacked  British and Irish bacon",MAA,19-006 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,1.00,,,,
19-498,"Bacon rashers, back, dry-fried","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-002 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,1.00,,,6.25,
19-499,"Bacon rashers, back, fat trimmed, grilled","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon, back fat removed",MAA,19-008 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,1.00,,,6.25,
19-646,"Bacon rashers, back, fat trimmed, raw","24 samples, back fat removed. MLC data and calculation from 19-499",MAA,19-007 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; industry data 2013; vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,1.00,,,,
19-500,"Bacon rashers, back, grilled","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-003 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,1.00,,,6.25,0.91
19-501,"Bacon rashers, back, grilled crispy","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-004 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,1.00,,,6.25,
19-502,"Bacon rashers, back, microwaved","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-005 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,1.00,,,6.25,
19-497,"Bacon rashers, back, raw","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-001 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2013",,0.97,,,6.25,0.93
19-009,"Bacon rashers, back, reduced salt, grilled","6 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; Na reviewed 2014",,1.00,,,,
19-659,"Bacon rashers, back, smoked, grilled",9 samples; loose and prepacked British and Danish bacon,MAA,19-010 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,1.00,,,,
19-647,"Bacon rashers, back, sweetcure, grilled","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-011 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,1.00,,,,
19-660,"Bacon rashers, back, 'tendersweet', grilled","10 samples; smoked and unsmoked, loose and prepacked British bacon",MAA,19-012 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,1.00,,,,
19-648,"Bacon rashers, middle, fried in corn oil","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-014 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,1.00,,,,0.96
19-503,"Bacon rashers, middle, grilled","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-015 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,1.00,,,6.25,0.91
19-649,"Bacon rashers, middle, raw","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-013 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,0.92,,,,0.91
19-504,"Bacon rashers, streaky, fried in corn oil","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-017 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994",,1.00,,,6.25,
19-018,"Bacon rashers, streaky, grilled","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,50-359  ,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of bacon, 1993-1994",,1,,,,0.91
19-016,"Bacon rashers, streaky, raw","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,50-351  ,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of bacon, 1993-1994",,0.91,,,,0.91
19-537,"Bacon, fat only, average, cooked",Fat from five different cuts,MAA,50-339 ,"MW4, 1978; and industry data, 2013. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,1.00,,,,
19-650,"Bacon, fat only, average, raw",Fat from five different cuts,MAA,50-338 ,"MW4, 1978; and industry data, 2013","Bacon may contain small amounts of vitamins. However, it is extremely difficult to obtain satisfactory analytical values for inclusion in the tables",1.00,,,6.25,
11-970,"Bagels, plain",2 brands,AP,11-534 ,"RHM, Nutrient content of selected foods, 1995; and industry data, 2013",,1.00,,,6.25,0.956
13-578,"Baked beans, canned in barbecue sauce","5 cans (Heinz), and manufacturer's data",DB,13-051 ,"Vegetables, Herbs and Spices Supplement, 1991; estimated from 13-532; and industry data, 2014",,1.00,,,6.25,0.8
13-532,"Baked beans, canned in tomato sauce","16 samples, 9 brands",DB,,"DH, Nutrient analysis of fruit and vegetables, 2013",,1.00,,,6.25,0.8
13-535,"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",Estimated from 13-532 and industry data,DB,,"DH, Nutrient analysis of fruit and vegetables, 2013; and industry data, 2013",,1.00,,,6.25,
13-579,"Baked beans, canned in tomato sauce, with pork sausages","LGC; 10 cans, 3 brands",DB,13-048 ,"Vegetables, Herbs and Spices Supplement, 1991; and indsutry data, 2014",,1.00,,,6.25,
12-500,"Baking fat and margarine (75-90% fat), hard block","10 samples, 4 products, including Stork and own brands",BTM,17-539 17-018 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,1.00,,,6.25,0.956
17-355,Baking powder,6 samples of the same brand,WY,50-1174 ,"Reviewed 2013. MW4, 1978",,1.00,,,,
11-1029,"Banana bread, homemade",Recipe,AN,11-573 ,Based on Mary Berry's complete cookbook. Recalculated 2014,,1.00,,,,
12-556,"Banana split, homemade",Recipe,BP,12-447 ,Updated 2014,,1.00,,,,
14-318,"Bananas, flesh only","11 samples, including Fairtrade and organic, pre-packed and loose",FA,14-045 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,1,,,6.25,
14-347,"Bananas, raw, flesh only, weighed with skin",Calculated from 14-318 using edible factor of 0.87,FA,14-318 ,"DH, Nutrient analysis of fruit and vegetables, 2013. Vitamin K1 calculated from Bolton-Smith et al, Br.J. Nutr 83, 2000.",,0.63,,,6.25,0.8
11-1030,"Bannocks, made with beremeal, homemade",Recipe,AF,11-627 ,Updated 2014,,1.00,,,,
11-951,"Bannocks, made with wheat flour, homemade",Recipe,AF,11-628 ,Updated 2014,,1.00,,,,
17-705,Barbecue sauce,Literature sources (1980),WCN,17-289 ,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",,1.00,,,,
17-769,"Barbecue sauce, homemade",Recipe,WC,17-609  ,Updated 2014,,1.00,,,,
14-804,"Barcelona nuts, Kernel only",Kernel only,GA,,"MW4, 1978. Values reviewed for Fruit and Nuts Supplement, 1992",,1.00,,,,
14-805,"Barcelona nuts, kernel only, weighed with shells",Calculated from 14-804,GA,,"MW4, 1978. Values reviewed for Fruit and Nuts Supplement, 1992",,0.62,,,,
17-844,"Barley water, diluted",Calculated from 50g concentrate to 200ml water,PCC,17-186 ,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",,1.00,,,6.25,
17-743,"Barley water, undiluted",Orange and lemon flavours,PCC,17-185 ,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",,1.00,,,6.25,
11-003,"Barley, pearl, boiled","2 samples from different shops, boiled in water",AA,,"MW4, 1978. Reviewed 2014",,1.00,,,5.83,
11-002,"Barley, pearl, raw",2 samples from different shops; literature sources,AA,  ,"MW4, 1978. Reviewed 2014",,1.00,,,5.83,
13-805,"Basil, dried, ground",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1.00,,,,
13-804,"Basil, fresh",6 samples and literature sources,H,,"Reviewed 2013. LGC, Fruit and Vegetables, 1989-1990; Polacchi et al. (1982) Food composition tables for the near east; and Wu Leung et al. (1972) Food composition table for use in East Asia",,1.00,,,6.25,
16-386,"Bass, sea, flesh only, baked","10 samples, 10 products, frozen and chilled",JA,,"DH, Nutrient analysis of fish and fish products, 2013",,0.88,,,6.25,0.9
16-463,"Bass, sea, flesh only, baked, weighed with bones and skin",Calculated from baked 16-386 using edible conversion factor 0.89,JA,,"DH, Nutrient analysis of fish and fish products, 2013",,0.89,,,6.25,0.9
16-385,"Bass, sea, flesh only, raw","10 samples, 10 products, frozen and chilled",JA,,"DH, Nutrient analysis of fish and fish products, 2013",,0.63,,,6.25,0.9
16-464,"Bass, sea, flesh only, raw, weighed with bones and skin",Calculated from 16-385 using edible conversion factor of 0.86,JA,,"DH, Nutrient analysis of fish and fish products, 2013",,0.86,,,6.25,0.9
13-806,"Bay leaf, dried","Reviewed 2013. LGC, Fruit and Vegetables, 1989-1990; Polacchi et al. (1982) Food composition tables for the near east; and Leung et al. (1972) Food composition table for use in East Asia",H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1.00,,,,
15-664,"Bean loaf, mixed beans, homemade",Recipe from dietary survey records,DR,15-387 ,Updated 2014,,1.00,,,,
15-665,"Beanburger, aduki, fried in rapeseed oil, homemade",Recipe,DR,15-388 ,Updated 2014,,1.00,,,,
15-666,"Beanburger, butter bean, fried in rapeseed oil, homemade",Recipe,DR,15-389 ,Updated 2014,,1.00,,,,
15-667,"Beanburger, red kidney bean, fried in rapeseed oil",Recipe from Leeds Polytechnic,DR,15-390 ,Updated 2014,,1.00,,,,
15-668,"Beanburger, soya, fried in rapeseed oil",Recipe from review of recipe collection,DR,15-366 ,Updated 2014,,1.00,,,,
13-042,"Beans, aduki, whole, dried, boiled in unsalted water",Analysis and calculation from dried,DB,50-693 ,"LGC, Fruit and vegetables, 1989-1990",,1.00,,,,
13-041,"Beans, aduki, whole, dried, raw","6 samples, whole beans",DB,50-692 ,"LGC, Fruit and vegetables, 1989-1990",,1.00,,,,
13-049,"Beans, balor, ends trimmed, raw",5 samples,DB,,"Vegetables, Herbs and Spices Supplement, 1991",,0.88,,,,
13-063,"Beans, blackeye, whole, dried, boiled in unsalted water",Soaked and boiled,DB,50-701 ,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990",,1.00,,,,
13-062,"Beans, blackeye, whole, dried, raw",Analysis and literature sources,DB,50-700 ,"LGC, Fruit and vegetables, 1989-1990",,1.00,,,,
13-067,"Beans, broad, dried, raw",Literature sources,DB,,"Vegetables, Herbs and Spices Supplement, 1991",,1.00,,,,
13-648,"Beans, broad, whole, boiled in unsalted water","11 samples, UK, fresh. Removed from pods and boiled for 3-10 minutes",DB,13-066,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
13-064,"Beans, broad, whole, raw",Without pods,DB,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,0.23,,,,
13-559,"Beans, butter, canned, re-heated, drained","10 cans, 5 brands, no added salt",DB,13-429 ,"Reviewed 2013. Vegetable, Herbs and Spice Supplement, 1991; and industry data, 2013. Selenium estimated from SAC 'Analysis of foods for Selenium' 1994 MAFF Project 2B006",,0.57,,,6.25,0.8
13-663,"Beans, butter, dried, boiled in unsalted water","7 samples, 6 products, soaked and boiled for 25-75 minutes",DB,13-071,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
13-070,"Beans, butter, dried, raw",Analysis and literature sources,DB,,"As Vegetables, Herbs and Spices Supplement, 1991 13-062",,1.00,,,,
13-666,"Beans, cannellini, canned, re-heated, drained","10 samples, 7 products, canned in water, no added salt. Heated for 3-5 minutes before draining",DB,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,0.66,,,6.25,0.8
13-670,"Beans, chick peas, canned, re-heated, drained","Fibre only analysed. 10 samples, 7 products, whole peas, canned in water, no added salt. Heated for 3-5 minutes before draining",DB,13-560,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,0.62,,,6.25,0.8
13-077,"Beans, chick peas, Kabuli, split, dried, boiled in unsalted water",Soaked and boiled,DB,,"Vegetables, Herbs and Spices Supplement, 1991",,1.00,,,,
13-076,"Beans, chick peas, Kabuli, split, dried, raw",No seed coat. Literature sources,DB,,"Vegetables, Herbs and Spices Supplement, 1991",,1.00,,,,
13-662,"Beans, chick peas, Kabuli, whole, dried, boiled in unsalted water","10 samples, 10 products, soaked and boiled for 45-100 minutes",DB,13-430,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
13-074,"Beans, chick peas, Kabuli, whole, dried, raw",Analytical and literature sources.,DB,50-704 ,"LGC, Fruit and vegetables, 1989-1990. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,1.00,,,,
13-080,"Beans, cluster, raw",5 samples. Ends trimmed,DB,,"Vegetables, Herbs and Spices Supplement, 1991",,0.86,,,,
13-667,"Beans, edamame, frozen, boiled in unsalted water","7 samples, 5 products, including shelled and in pods. Boiled for 3-6 minutes, pods discarded ",DB,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,0.51,,,5.71,0.8
13-515,"Beans, green, boiled in unsalted water","As raw, boiled for 3-6 minutes, not runner bean",DB,13-432 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,1.00,,,6.25,
13-514,"Beans, green, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, including dwarf, fine and extra fine, not runner bean",DB,13-431 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,0.91,,,6.25,
13-665,"Beans, haricot, canned, re-heated, drained","6 samples, 4 products, canned in water, no added salt. Heated for 2-5 minutes before draining",DB,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,0.74,,,6.25,0.8
13-087,"Beans, haricot, whole, dried, boiled in unsalted water","Soaked 24 hours, boiled 2 hours",DB,,"MW4, 1978. Values revised for Vegetables, Herbs and Spices Supplement, 1991",,1.00,,,,
13-086,"Beans, haricot, whole, dried, raw",Whole beans,DB,,"MW4, 1978. Values revised for Vegetables, Herbs and Spices Supplement, 1991",,1.00,,,,
13-099,"Beans, mung, dahl, dried, boiled in unsalted water","Split beans, no seed coat, soaked and boiled. Literature sources",DB,,"Vegetables, Herbs and Spices Supplement, 1991",,1.00,,,,
13-098,"Beans, mung, dahl, dried, raw","Split beans, no seed coat. Literature sources",DB,,"Vegetables, Herbs and Spices Supplement, 1991",,1.00,,,,
13-664,"Beans, mung, whole, dried, boiled in unsalted water","6 samples, 6 products, soaked and boiled for 30-45 minutes",DB,13-097,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
