Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-910,"Bread, naan, peshwari naan, takeaway and retail","10 samples, 5 from takeaway shops, naan with nuts and raisins",AF,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,32.4,1.22,7.6,7.9,39.8,251,1058,38.2,,1.6,Tr,Tr,Tr,1.6,Tr,Tr,0.0,3.0,5.6,,3.13,,,,,,,,2.58,,,,1.69,,,,,,0.02,40.6,Unknown,Unknown
11-973,"Bread, naan, retail","12 samples, including garlic and coriander",AF,11-463 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Vitamin K1  from Bolton-Smith et al, Br J Nutr, 83, 2000.",,30.8,1.40,7.8,7.3,50.2,285,1206,47.0,,3.1,0.7,,0.8,Tr,1.3,0.4,0.0,2.0,2.9,15.07,0.97,,,,,47.04,3.03,47.46,3.05,35.79,2.31,36.81,2.37,,,,,1.44,0.09,5.0,Unknown,Unknown
11-974,"Bread, pitta, white","10 samples, 8 brands",AF,11-465 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Additional vitamin data from 11-090 (CCP, 1988)",,31.4,1.60,9.1,1.3,55.1,255,1084,52.2,,3.0,0.5,0.0,0.5,Tr,2.0,0.0,0.0,2.4,2.3,,0.20,,,,,,,,0.10,,,,0.50,,,,,,Tr,0.0,Unknown,Unknown
11-947,"Bread, seeded",Label data and calculations,AF,,"Industry data, 2013; and calculated",,33.0,1.74,9.9,7.4,43.8,270,1143,40.0,,3.8,N,,N,N,N,0.0,0.0,N,6.2,,1.00,,,,,,,,N,,,,N,,,,,,Tr,0.0,Unknown,Unknown
11-1117,"Bread, soda, made with white flour, homemade",Recipe,AF,11-631 ,Updated 2014,,34.3,1.31,7.6,1.6,57.3,261,1110,55.0,,2.3,Tr,,Tr,0.3,0.1,1.9,0.0,2.3,2.7,,0.73,,,,,,,,0.32,,,,0.16,,,,,,0.03,2.3,Unknown,Unknown
11-975,"Bread, wheatgerm","7 samples, 4 brands, pre-packed, sliced",AF,11-467 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Iodine and Sulphur from 11-098 (1988)",,39.7,1.90,11.1,3.1,39.5,220,935,35.8,,3.8,0.2,,0.6,Tr,2.9,0.0,0.0,4.0,5.7,28.89,0.72,,,,,27.53,0.69,27.84,0.69,42.12,1.06,42.82,1.06,,,,,1.00,0.03,0.0,Unknown,Unknown
11-1145,"Bread, white, average",Average of 5 main types of white bread,AF,11-099 ,Updated 2014,,36.1,1.54,8.7,2.1,48.7,236,1004,45.8,,3.0,Tr,,0.2,Tr,2.8,0.0,,2.1,2.9,,N,,,,,,,,N,,,,N,,,,,,0.02,0.0,Unknown,Unknown
11-923,"Bread, white, crusty bloomer, unsliced, fresh, large","10 samples, 8 products",AF,11-100 11-101 ,"LGC, Nutrient analysis of bread and morning goods, 1999",,36.0,1.61,9.2,1.6,52.3,247,1052,49.5,,2.8,Tr,,0.2,Tr,2.6,Tr,0.0,2.2,2.8,,0.39,,,,,,,,0.34,,,,0.50,,,,,,0.04,0.0,Unknown,Unknown
11-976,"Bread, white, Danish style","8 samples, 4 brands, including Nimble and Weight Watchers",AF,11-466 ,"LGC, Nutrient analysis of bread and morning goods, 1999; Cereals and Cereal Products Supplement (1988); and industry data, 2013. Fats estimated from white bread.",,37.5,1.60,9.1,2.7,44.5,228,967,41.6,,3.0,0.1,,0.2,Tr,2.7,0.0,0.0,2.4,3.1,,0.50,,,,,,,,0.50,,,,0.90,,,,,,0.02,0.0,Unknown,Unknown
11-977,"Bread, white, farmhouse or split tin",20 samples,AF,11-470 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,36.8,1.60,9.0,2.0,49.9,241,1025,47.0,,2.9,Tr,,0.2,Tr,2.7,0.0,0.0,2.1,2.9,30.80,0.49,,,,,27.37,0.43,29.36,0.43,38.52,0.61,39.42,0.63,,,,,2.89,0.05,0.0,Unknown,Unknown
11-978,"Bread, white, French stick","18 samples, baguette and flute, thick and thin",AF,11-471 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Average of flute and baguette",,29.0,1.60,9.0,1.9,56.1,263,1121,53.3,,2.8,Tr,,0.2,Tr,2.7,0.0,0.0,2.4,3.3,25.81,0.34,,,,,21.00,0.27,21.52,0.28,51.92,0.68,52.36,0.68,,,,,0.97,0.01,0.0,Unknown,Unknown
11-979,"Bread, white, premium","15 samples, 13 brands",AF,11-474 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,38.4,1.50,8.3,2.3,47.0,230,978,44.4,,2.7,Tr,,0.2,Tr,2.5,0.0,0.0,1.9,2.8,,N,,,,,,,,N,,,,N,,,,,,Tr,0.0,Unknown,Unknown
11-980,"Bread, white, sliced",15 samples,AF,11-468 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,38.6,1.40,7.9,1.6,46.1,219,931,42.7,,3.4,Tr,,0.2,Tr,3.2,0.0,0.0,1.9,2.5,,0.29,,,,,27.99,0.32,28.34,0.32,45.00,0.52,45.59,0.52,,,,,0.95,0.01,0.0,Unknown,Unknown
11-1137,"Bread, white, sliced, fried in rapeseed oil",Calculated on white sliced bread using analysed fat and water changes,AF,11-105 ,Updated 2014,,7.4,1.42,8.1,32.2,46.8,498,2078,43.3,,3.5,Tr,,0.2,Tr,3.2,0.0,,1.9,2.5,,2.30,,,,,,,,18.40,,,,9.50,,,,,,Tr,0.0,Unknown,Unknown
11-1001,"Bread, white, toasted",15 samples. Calculated using weight loss of 18%,AF,11-475 ,"White bread sliced from LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,25.1,1.71,9.7,2.0,56.2,267,1137,52.1,,4.1,Tr,,0.2,Tr,3.9,0.0,0.0,2.3,3.0,,0.35,,,,,,,,0.39,,,,0.63,,,,,,0.01,0.0,Unknown,Unknown
11-1003,"Bread, white, 'with added fibre'","Including Hovis Best of Both, Kingsmill 50/50 and Warburtons Half & Half Toastie",AF,11-472 ,"Industry data, 2013; and calculated",,39.2,1.50,8.7,2.2,45.1,224,951,41.6,,3.5,0.1,,0.3,Tr,3.0,0.0,0.0,3.5,4.8,,0.42,,,,,,,,0.56,,,,0.88,,,,,,Tr,0.0,Unknown,Unknown
11-1004,"Bread, white, 'with added fibre', toasted",Calculated using weight loss of 16%,AF,11-473 ,"Industry data, 2013; and calculated",,27.6,1.94,10.4,2.6,53.7,266,1132,49.5,,4.2,0.1,,0.4,Tr,3.6,0.0,0.0,4.2,5.7,,0.50,,,,,,,,0.67,,,,1.05,,,,,,Tr,0.0,Unknown,Unknown
11-981,"Bread, wholemeal, average","21 samples, sliced and unsliced",AF,11-476 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Vitamin K1 value from Bolton-Smith et al, Br. J. Nutr. 83, 2000",,41.2,1.65,9.4,2.5,42.0,217,922,39.3,,2.8,0.2,,0.4,Tr,2.2,0.0,0.0,5.0,7.0,24.10,0.46,,,,,30.75,0.58,31.75,0.59,42.93,0.82,43.68,0.82,,,,,1.75,0.04,0.0,Unknown,Unknown
11-982,"Bread, wholemeal, toasted",Calculated using weight loss of 14.6%,AF,11-611 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,31.1,1.93,11.2,2.9,49.2,255,1084,46.0,,3.2,0.2,,0.5,Tr,2.5,0.0,0.0,5.9,8.2,28.20,0.54,,,,,36.00,0.69,37.17,0.69,50.27,0.96,51.15,0.96,,,,,2.05,0.05,0.0,Unknown,Unknown
11-987,"Chapatis, made with fat, retail",6 samples,AF,11-458 ,"MW4, 1978; and industry data, 2013. Selenium from Analysis of foods for selenium (1994) MAFF Project 2B006. Fibre fractions from 11-074",,28.5,1.42,8.1,12.8,48.3,328,1383,46.5,,1.8,N,,N,N,N,0.0,0.0,N,N,,N,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
11-459,"Chapatis, made without fat",Analysed and calculated values,AF,11-075 50-036 ,Data from MW5 with selenium data from SAC Analysis of foods for Selenium 1994 MAFF Project 2B006. Fibre fractions from 11-075,,45.8,1.28,7.3,1.0,43.7,202,860,42.1,,1.6,N,,N,N,N,0.0,0.0,N,,,0.10,,,,,,,,0.10,,,,0.40,,,,,,Tr,0.0,Unknown,Unknown
11-1009,"Currant buns, retail","9 samples, 5 supermarkets, 3 bakeries",AF,11-536 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,27.9,1.40,8.0,5.6,52.6,280,1185,36.6,,16.0,8.2,,7.0,Tr,0.9,Tr,0.0,2.2,2.9,36.60,1.86,,,,,38.84,1.97,40.08,1.97,22.04,1.12,23.00,1.20,,,,,Tr,Tr,1.5,Unknown,Unknown
11-1091,"Milk bread, homemade",Recipe,AF,11-629 ,Updated 2014,,34.5,1.51,8.8,7.0,50.8,289,1221,48.7,,2.1,Tr,,Tr,0.2,Tr,1.8,,1.9,2.0,,2.47,,,,,,,,2.82,,,,1.12,,,,,,0.04,3.1,Unknown,Unknown
11-912,"Mooli paratha, homemade","5 samples, radish filled flatbread",AF,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,46.7,0.94,5.9,2.3,33.8,171,727,32.0,,1.8,0.9,0.0,0.5,0.3,0.1,0.0,0.0,2.0,4.8,,0.41,,,,,,,,0.79,,,,0.98,,,,,,Tr,3.0,Unknown,Unknown
11-998,"Papadums, takeaway",10 samples from different outlets,AF,11-464 ,"Aspland and James, Nutrient analysis of ethnic and takeaway foods, 1997; fatty acids as Fatty Acids Supplement 17-447. Riboflavin from Cereals and Cereal Products Supplement, 1988",,3.9,1.84,11.5,38.8,28.3,501,2084,28.3,0.0,Tr,Tr,,Tr,Tr,Tr,Tr,0.0,5.8,6.3,,7.95,27.48,10.19,6.28,2.33,44.27,16.42,,16.50,33.76,12.52,,12.52,21.42,7.95,0.00,0.00,0.18,0.07,1.9,Unknown,Unknown
11-1104,"Paratha, homemade",Recipe,AF,11-630 ,Updated 2014,,30.6,1.37,7.8,14.4,45.8,333,1398,45.1,,0.7,Tr,,Tr,0.6,0.1,0.1,0.0,4.4,4.9,,8.51,,,,,,,,3.48,,,,0.97,,,,,,0.46,34.1,Unknown,Unknown
11-911,"Puri, homemade","9 samples; 6 homemade, 3 café. Deep fried chapati",AF,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,25.0,1.15,7.2,22.3,36.5,366,1531,35.3,,1.2,Tr,0.0,Tr,0.5,0.6,0.0,0.0,4.0,3.5,,2.66,,,,,,,,7.34,,,,10.90,,,,,,Tr,29.7,Unknown,Unknown
11-925,"Tortilla, wheat, soft","8 samples, 6 products",AF,11-632 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,30.6,1.37,7.8,5.7,53.9,285,1206,51.9,,2.0,Tr,,0.4,Tr,1.6,0.0,0.0,1.9,3.6,22.14,2.50,20.44,1.65,6.81,0.55,48.57,3.90,50.27,2.00,26.13,2.11,27.25,0.80,22.05,1.79,0.09,Tr,Tr,Tr,0.1,Unknown,Unknown
